"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.004171256E-5,3.125219822E-1,1.746048614E0,-1.422255685E0,2.273580213E0
1.000595826E-2,8.517241430E-1,1.830982345E0,-2.259192220E0,3.030161687E0
2.003295824E-2,-5.963551855E-1,1.921314957E0,-2.147996305E0,2.942954093E0
3.005995834E-2,-1.786983948E0,2.248528360E0,-1.795808566E0,3.387347018E0
4.008695832E-2,-1.218301295E0,2.251691558E0,-2.378202939E0,3.494312828E0
5.011395831E-2,5.125131297E-1,1.720938185E0,-3.169741691E0,3.643015281E0
6.013995828E-2,1.426153439E0,1.349881189E0,-2.959644216E0,3.551842725E0
7.016695826E-2,2.323265424E0,1.754384259E0,-2.444103983E0,3.801193318E0
8.019395825E-2,9.981670743E-1,1.282558687E0,-1.737304249E0,2.378974642E0
9.022095834E-2,-8.643821955E-2,6.515371138E-1,-9.432927096E-1,1.149684005E0
1.002479583E-1,-2.783543622E-1,1.547534327E-1,-8.966933244E-1,9.515716967E-1
1.102739583E-1,-7.863616276E-1,2.224733993E-1,-1.024048605E0,1.310165855E0
1.203009583E-1,-8.431696665E-1,1.952937868E-1,-8.377715170E-1,1.204547992E0
1.303279583E-1,-1.141268907E0,3.316719058E-1,-5.592873466E-1,1.313508015E0
1.403549582E-1,-8.482199067E-1,5.260374472E-1,7.423332632E-2,1.000851134E0
1.503809583E-1,-2.351948941E-1,1.494026457E-1,4.523195529E-1,5.312539568E-1
1.604079583E-1,4.362309390E-1,-1.030921715E0,9.266468561E-1,1.453193521E0
1.704349583E-1,4.272613102E-1,-2.756129829E0,1.677818770E0,3.254824064E0
1.804619583E-1,-5.391001269E-1,-3.628645209E0,2.170661282E0,4.262565589E0
1.904889583E-1,-6.361744317E-1,-2.779668673E0,3.307207977E0,4.366795214E0
2.005149582E-1,4.108575314E-2,-1.362879842E0,3.594116816E0,3.844061028E0
2.105419583E-1,3.920180950E-1,-7.745980529E-1,2.429380109E0,2.579838764E0
2.205689583E-1,5.092229015E-1,-5.188712458E-1,9.951738846E-1,1.232439205E0
2.305959583E-1,-2.600250953E-1,-6.691147211E-1,-2.806862319E-1,7.707868194E-1
2.406212083E-1,-7.676230556E-1,-2.303745957E-1,-1.301175637E0,1.528193590E0
2.506482083E-1,-2.718241918E-1,5.432966736E-1,-1.489562400E0,1.608681389E0
2.606752083E-1,-4.019399428E-1,7.000000066E-1,-1.677066234E0,1.861211132E0
2.707022083E-1,-4.122029757E-1,7.466713125E-1,-1.390989454E0,1.631649779E0
2.807292083E-1,1.489678760E0,1.256796001E0,1.557113528E-3,1.949020631E0
2.907552082E-1,1.927260405E0,-1.805096868E-1,6.541783011E-1,2.043248802E0
3.007822083E-1,1.240466043E0,-6.170041890E-1,7.988378316E-1,1.599247340E0
3.108092083E-1,5.617323598E-1,1.177328101E-1,-1.411476928E-1,5.910388564E-1
3.208362083E-1,-9.747162312E-2,-2.522927374E-2,-7.641234970E-1,7.707281961E-1
3.308622083E-1,-1.059692647E0,-5.710689014E-1,-1.045452923E0,1.594377624E0
3.408892083E-1,-2.484062393E0,-2.081145965E0,1.145770678E0,3.437226345E0
3.509162082E-1,-2.961861773E0,-2.860342415E0,3.642949837E0,5.497751123E0
3.609432083E-1,4.648530596E-1,3.877139595E-1,4.125838634E0,4.170006584E0
3.709702083E-1,1.792425367E0,4.230545309E-1,1.669789959E0,2.485953004E0
3.809962083E-1,-5.665668377E-1,-1.975620680E0,-5.635499668E-1,2.131117926E0
3.910232083E-1,5.290356070E-2,-1.883805945E0,1.309305605E0,2.294734145E0
4.010502083E-1,1.122811586E0,-1.245765959E0,8.903841788E-1,1.898795057E0
4.110772082E-1,6.291229820E-1,-4.295025480E-1,-5.980906391E-1,9.684939741E-1
4.211032083E-1,-4.997276080E-1,5.818900511E-1,-9.296318597E-1,1.205213304E0
