"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.338958422E-3,6.943498421E-1,-2.275392223E0,-2.680524454E0,3.583956308E0
1.936695841E-2,1.128007421E0,-2.894455948E0,-3.216110111E0,4.471424854E0
2.939395839E-2,1.064502566E0,-3.464084680E0,-3.135308023E0,4.791993821E0
3.942095838E-2,1.150953650E0,-4.060115930E0,-3.766560561E0,5.656519613E0
4.944895837E-2,1.334369110E0,-4.414032691E0,-4.256527997E0,6.275528352E0
5.947595835E-2,9.964941859E-1,-4.796239158E0,-4.970578862E0,6.978793946E0
6.950295845E-2,7.056943175E-1,-5.293820545E0,-5.502077317E0,7.667815545E0
7.953095844E-2,-7.968439311E-2,-5.685777537E0,-5.297373313E0,7.771523648E0
8.955795842E-2,-1.189425113E0,-6.099610716E0,-4.647666378E0,7.760205265E0
9.958495840E-2,-2.249643424E0,-6.970802579E0,-4.396202776E0,8.542808846E0
1.096119584E-1,-3.337622854E0,-8.162931737E0,-4.295570440E0,9.809439651E0
1.196399584E-1,-4.568483968E0,-9.135655822E0,-4.379608378E0,1.111360529E1
1.296669584E-1,-5.661281211E0,-9.638634481E0,-4.833530653E0,1.217852200E1
1.396939583E-1,-6.421375977E0,-1.007733587E1,-5.755431324E0,1.326317298E1
1.497219584E-1,-6.758140515E0,-1.066427938E1,-6.919941743E0,1.439739253E1
1.597489584E-1,-6.956851122E0,-1.132913002E1,-8.091284049E0,1.556328506E1
1.697759584E-1,-6.714299262E0,-1.166939821E1,-8.918628227E0,1.614926000E1
1.798039584E-1,-6.076884928E0,-1.179636231E1,-8.513595107E0,1.576591246E1
1.898309584E-1,-5.142343161E0,-1.212297725E1,-6.866379493E0,1.485117631E1
1.998579584E-1,-3.414292130E0,-1.232393319E1,-4.243185235E0,1.347372780E1
2.098859583E-1,-1.579085611E0,-1.174856834E1,-1.626020918E0,1.196521263E1
2.199129583E-1,-2.447644472E-1,-1.112850386E1,5.748096576E-1,1.114602682E1
2.299399584E-1,6.247691453E-1,-1.092428284E1,2.946766309E0,1.133197792E1
2.399669584E-1,1.354090015E0,-1.098808181E1,5.055809632E0,1.217097829E1
2.499949584E-1,3.708617578E0,-1.144199531E1,7.287225823E0,1.406331260E1
2.600219584E-1,7.279733201E0,-1.030074395E1,8.717203926E0,1.533262814E1
2.700489584E-1,1.299971578E1,-8.162722991E0,8.907323220E0,1.774719876E1
2.800769584E-1,1.878578008E1,-4.675934157E0,8.704273978E0,2.122579278E1
2.901049583E-1,2.242162555E1,-1.101961584E0,7.567564731E0,2.368990603E1
