"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.113833308E-3,3.027132779E-1,-2.741759419E0,-2.002128155E0,3.408430312E0
1.914083341E-2,-5.325442287E-1,-3.398115224E0,-3.345931748E0,4.798546622E0
2.916783339E-2,-3.810992968E-1,-4.870904301E0,-4.070181912E0,6.359035003E0
3.919583338E-2,2.636497843E-1,-5.665681241E0,-3.162589377E0,6.493953088E0
4.922283336E-2,2.388681734E0,-5.724862665E0,-3.646651710E0,7.195687712E0
5.924983334E-2,5.447094194E0,-7.299878029E0,-4.061024587E0,9.972510972E0
6.927783333E-2,2.447786559E0,-7.090685703E0,-5.287023157E0,9.177259756E0
7.930483331E-2,1.653773265E0,-8.005365062E0,-6.574785866E0,1.049040728E1
8.933183330E-2,-5.487494946E-2,-9.451250516E0,-7.544519100E0,1.209334180E1
9.935983340E-2,-2.656777157E0,-1.114376860E1,-7.818772810E0,1.386994058E1
1.093868334E-1,-6.402097707E0,-1.234588831E1,-8.001305341E0,1.604458477E1
1.194138334E-1,-1.141385383E1,-1.318980525E1,-8.734850823E0,1.950755343E1
1.294418334E-1,-1.410899223E1,-1.554076251E1,-8.745492756E0,2.273901063E1
1.394682500E-1,-1.383851875E1,-1.822789256E1,-7.612038653E0,2.411853645E1
1.494952500E-1,-1.257148325E1,-1.854884155E1,-6.644009882E0,2.337187586E1
1.595232501E-1,-1.101838559E1,-1.779608270E1,-6.386829457E0,2.188371474E1
1.695502501E-1,-8.617734602E0,-1.857486166E1,-5.722812631E0,2.126126571E1
1.795772500E-1,-4.937498240E0,-1.944588512E1,-4.869788067E0,2.064548795E1
1.896042500E-1,3.401775581E-1,-1.878270094E1,-3.011513697E0,1.902563508E1
1.996322500E-1,2.740495251E0,-1.639372158E1,-9.198794349E-1,1.664663929E1
2.096592500E-1,4.243479935E0,-1.378514302E1,8.344502985E-2,1.442373922E1
2.196862500E-1,7.580085374E0,-1.365338537E1,1.600037938E0,1.569817658E1
2.297142501E-1,1.211643889E1,-1.340423084E1,7.063056439E0,1.940021294E1
2.397412501E-1,1.816118986E1,-1.066817479E1,1.054947164E1,2.355695486E1
2.497682500E-1,2.325966955E1,-7.808539013E0,1.414989584E1,2.832322477E1
2.597962500E-1,2.889396235E1,-5.129704404E0,1.550703577E1,3.319100911E1
2.698232500E-1,3.147526716E1,-2.119176548E0,1.298141633E1,3.411305501E1
2.798502500E-1,3.129270305E1,6.039390242E-1,8.105115638E0,3.233095894E1
2.898782500E-1,2.898609576E1,1.803280138E0,2.696382687E0,2.916703698E1
2.999052500E-1,2.512765848E1,1.381086609E0,-2.116775243E0,2.525445225E1
3.099322501E-1,2.246712858E1,1.432017027E0,-3.931209383E0,2.285337933E1
3.199602501E-1,2.150316363E1,2.918663421E0,-2.959231988E0,2.190118025E1
3.299872500E-1,2.167302992E1,4.896626787E0,-7.269582435E0,2.337828070E1
