"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.952541647E-3,1.240966272E-1,1.190383179E0,-1.780157908E0,2.145081412E0
1.697954163E-2,-3.402202427E-3,1.170341190E0,-1.105168782E0,1.609691931E0
2.700654161E-2,-1.172255641E-1,1.199520623E0,-6.868443561E-1,1.387208250E0
3.703354171E-2,-1.850851330E-1,9.774302895E-1,8.708024383E-2,9.986037483E-1
4.706054169E-2,2.972829688E-1,4.088558833E-1,1.059928290E0,1.174303315E0
5.708754167E-2,5.795295301E-1,-7.529868901E-2,1.962916142E0,2.048063512E0
6.711454166E-2,4.425374535E-1,-4.068723616E-1,2.222784532E0,2.302641003E0
7.714154164E-2,1.364199266E-1,-7.419768754E-1,1.932259190E0,2.074310887E0
8.716854162E-2,-5.338771015E-2,-9.726064096E-1,1.369071166E0,1.680228953E0
9.719554172E-2,3.081400788E-1,-1.016054876E0,3.681108767E-1,1.123754171E0
1.072225417E-1,8.901052666E-1,-9.619295400E-1,-6.506664634E-1,1.463202881E0
1.172485417E-1,1.346714045E0,-8.042672637E-1,-1.261536192E0,2.012947618E0
1.272755417E-1,1.438251913E0,-5.042974994E-1,-1.205050920E0,1.942944223E0
1.373025416E-1,1.121907021E0,-2.939628466E-1,-9.086707610E-1,1.473354021E0
1.473295416E-1,6.444692919E-1,-1.844773332E-1,-7.001917952E-1,9.693508677E-1
1.573565417E-1,3.965388697E-1,-2.912885677E-1,-7.276035422E-1,8.783501691E-1
1.673835417E-1,4.535302189E-1,-7.909639710E-1,-9.290512311E-1,1.301710357E0
1.774105417E-1,8.059555010E-1,-4.667172251E-1,3.197549880E-2,9.318860823E-1
1.874375417E-1,1.030451306E0,-4.988531569E-1,6.771344697E-1,1.330111069E0
1.974645416E-1,-1.009422380E-1,-1.023621831E0,1.062808043E0,1.479037500E0
2.074915416E-1,-1.416107630E0,-1.498115999E0,1.587547116E0,2.601925867E0
2.175185416E-1,-1.579210010E0,-1.633395280E0,2.098217204E0,3.092636388E0
2.275455417E-1,-5.965310405E-1,-1.334569378E0,2.321996579E0,2.743828132E0
2.375725417E-1,3.258159193E-1,-7.273255071E-1,2.161278255E0,2.303536868E0
2.475995417E-1,1.117146072E0,1.047517721E-1,1.534556724E0,1.901013577E0
2.576255416E-1,1.614747194E0,5.753833426E-1,6.767842215E-1,1.842962662E0
