"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.464833368E-3,3.966742328E-1,-1.039271246E0,-1.343199576E0,1.744024160E0
1.348983333E-2,7.586607358E-1,-1.230444208E0,-2.441805443E0,2.837599845E0
2.351583331E-2,3.107258637E-1,-1.054845305E0,-3.271459855E0,3.451332896E0
3.354183328E-2,5.170330274E-1,-9.364777797E-1,-3.849255393E0,3.995132146E0
4.356683337E-2,1.076419046E0,-1.569878585E0,-4.329619946E0,4.729567170E0
5.359283334E-2,2.031537749E0,-2.696253464E0,-5.083728917E0,6.102559141E0
6.361883332E-2,3.230349251E0,-4.076889253E0,-6.362367046E0,8.218022675E0
7.364483329E-2,3.797824454E0,-4.553972349E0,-8.324774480E0,1.022076342E1
8.366983337E-2,3.324114617E0,-3.642752786E0,-1.036244844E1,1.147605000E1
9.369583335E-2,2.257445657E0,-3.001171727E0,-1.209400897E1,1.266365451E1
1.037218333E-1,1.037634026E0,-3.642294949E0,-1.334021903E1,1.386738766E1
1.137468333E-1,2.084535304E-1,-5.205438126E0,-1.413973221E1,1.506891058E1
1.237728334E-1,-1.189792318E0,-6.819352677E0,-1.392041251E1,1.554660931E1
1.337988334E-1,-3.091184641E0,-8.423198907E0,-1.290274673E1,1.571580655E1
1.438248333E-1,-3.757692966E0,-9.548910127E0,-1.449695499E1,1.776129626E1
1.538498333E-1,-5.183165497E0,-1.080302328E1,-1.210558763E1,1.703278510E1
1.638758334E-1,-6.083895155E0,-1.216058420E1,-7.309600779E0,1.543774115E1
1.739018334E-1,-6.189578315E0,-1.335659825E1,-4.144247423E0,1.529327902E1
1.839278333E-1,-5.507302973E0,-1.473266561E1,-3.695640852E0,1.615671945E1
1.939528333E-1,-4.705862546E0,-1.564900382E1,-3.532728068E0,1.671875087E1
2.039788333E-1,-3.964483548E0,-1.594606109E1,-1.974782481E0,1.654973595E1
2.140048334E-1,-3.233566389E0,-1.628532005E1,3.061660588E-1,1.660606330E1
2.240298333E-1,-1.801289746E0,-1.712869554E1,1.600689611E0,1.729737156E1
2.340558333E-1,6.127215421E-1,-1.776501761E1,2.375966964E0,1.793366938E1
2.440818333E-1,3.071162313E0,-1.698965109E1,4.160245990E0,1.775916464E1
2.541078334E-1,5.211505197E0,-1.566218111E1,6.907015888E0,1.789331082E1
2.641328333E-1,7.973301271E0,-1.520018441E1,9.165434521E0,1.945827149E1
2.741588333E-1,1.165112449E1,-1.523661608E1,1.150019265E1,2.236420359E1
2.841848333E-1,1.506007460E1,-1.492614530E1,1.423828469E1,2.554064235E1
2.942098334E-1,1.740365968E1,-1.434907423E1,1.522725234E1,2.721493185E1
3.042358333E-1,1.703060733E1,-1.246309926E1,1.262482973E1,2.459180259E1
3.142618333E-1,1.711301564E1,-1.078449228E1,8.751607774E0,2.203976445E1
3.242878333E-1,1.951895193E1,-9.045322187E0,5.742996050E0,2.226632752E1
3.343128334E-1,2.145804183E1,-6.806996341E0,4.594759017E0,2.297595632E1
3.443388334E-1,2.248535553E1,-5.482828867E0,4.263401983E0,2.353357648E1
3.543648333E-1,2.368232735E1,-4.104914373E0,5.419346232E0,2.463883650E1
