"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.433083327E-3,-8.049942188E-1,2.269450575E-1,-2.353249362E0,2.497459171E0
1.645908342E-2,-7.019376276E-1,2.554011172E-1,-2.556479282E0,2.663368634E0
2.648608340E-2,-6.418321976E-1,5.553784829E-1,-2.424560834E0,2.568830292E0
3.651208337E-2,-5.482309927E-1,7.615834665E-1,-1.947455519E0,2.161746885E0
4.653908336E-2,-2.982623774E-1,7.737161466E-1,-1.371503023E0,1.602690757E0
5.656508333E-2,-2.463285774E-2,4.827087021E-1,-6.839341968E-1,8.374845995E-1
6.659208343E-2,-3.034381865E-1,4.062353075E-1,-1.006413987E0,1.126929888E0
7.661808340E-2,-1.768947188E-1,5.745699218E-1,-2.025621098E0,2.112951293E0
8.664408338E-2,-6.083133262E-1,2.529429477E-1,-2.733076304E0,2.811357559E0
9.667108336E-2,-1.620123709E0,1.083360422E-1,-3.028888113E0,3.436670007E0
1.066970833E-1,-2.355255980E0,-4.307936132E-2,-2.949651325E0,3.774854898E0
1.167240834E-1,-1.740085624E0,-2.062640405E-1,-2.409604826E0,2.979368767E0
1.267500834E-1,-3.430034078E-1,-3.094840613E-1,-2.018421421E0,2.070617482E0
1.367770834E-1,1.279946151E0,-1.649750966E-1,-2.221914466E0,2.569510231E0
1.468030834E-1,3.202648652E0,2.732006264E-1,-2.709486297E0,4.203916384E0
1.568300833E-1,4.302940271E0,6.628716490E-1,-3.141172196E0,5.368580498E0
1.668560834E-1,3.870494235E0,4.173703064E-1,-2.430485818E0,4.589355609E0
1.768820834E-1,2.162849987E0,2.634579957E-2,-2.452781836E0,3.270283306E0
1.869090834E-1,7.392590895E-1,-4.087678827E-1,-3.079384668E0,3.193149717E0
1.969350834E-1,1.458513393E-1,-1.373968501E0,-2.871455925E0,3.186584564E0
2.069620833E-1,5.296345080E-1,-1.763349210E0,-1.316114688E0,2.263199288E0
2.169880833E-1,9.042670767E-1,-3.220164717E-1,3.155323627E0,3.298099566E0
2.270150834E-1,9.566074044E-2,-4.791610502E-2,2.985508790E0,2.987425257E0
2.370410834E-1,1.358377486E0,-9.087765956E-1,4.428515074E0,4.720467144E0
2.470680834E-1,1.039538610E0,-9.103234034E-1,3.704124577E0,3.953462799E0
2.570940834E-1,-1.680479546E-1,9.626654852E-2,2.332365446E0,2.340392261E0
2.671210833E-1,-8.055767477E-1,9.519278046E-1,1.495518959E-1,1.255980179E0
2.771470834E-1,-5.787398636E-1,1.234685339E0,-1.125859154E0,1.768317436E0
