"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.246250752E-4,2.714239499E-1,1.112482479E-1,-3.158870548E-1,4.310820857E-1
1.075062505E-2,3.749103114E-1,4.069662094E-2,-3.666613519E-1,5.259795657E-1
2.077762503E-2,2.933150482E-1,-1.653516573E-1,-4.636877096E-1,5.730455305E-1
3.080362501E-2,1.945316023E-1,-3.887801993E-1,-3.195912659E-1,5.395657188E-1
4.083062510E-2,4.190027028E-1,-4.826642632E-1,-6.188926935E-2,6.421513355E-1
5.085662508E-2,6.280447555E-1,-5.903907332E-1,-3.573449832E-1,9.331113919E-1
6.088362506E-2,6.913753635E-1,-6.984759298E-1,-1.111593702E0,1.483748320E0
7.090962504E-2,6.730548674E-1,-6.275369248E-1,-1.473849177E0,1.737537581E0
8.093562501E-2,8.413111290E-1,-4.403719372E-1,-1.709300764E0,1.955362105E0
9.096262511E-2,8.500997865E-1,-5.037718347E-1,-2.322660822E0,2.524125394E0
1.009886251E-1,5.881065184E-1,-5.265686667E-1,-3.085096228E0,3.184487804E0
1.110156251E-1,1.579411885E-1,-9.207356134E-1,-3.708297150E0,3.824155756E0
1.210416250E-1,-7.170928797E-1,-2.172217811E0,-4.401702082E0,4.960618272E0
1.310686250E-1,-9.599841714E-1,-3.135231425E0,-5.184048427E0,6.133971290E0
1.410946250E-1,-1.378133181E-1,-2.845725253E0,-5.583259474E0,6.268168080E0
1.511216251E-1,-8.792759308E-1,-2.455985525E0,-5.422209029E0,6.017087486E0
1.611476251E-1,-2.139025799E0,-2.102234825E0,-5.289790059E0,6.080847104E0
1.711736250E-1,-3.304111876E0,-2.575205575E0,-5.164405875E0,6.649806545E0
1.812006250E-1,-3.968282484E0,-3.626748372E0,-5.258479389E0,7.520118025E0
1.912266250E-1,-4.433671149E0,-4.627156100E0,-5.817853859E0,8.655370411E0
2.012536251E-1,-5.762164392E0,-5.276467178E0,-6.985107207E0,1.048023698E1
2.112796251E-1,-6.740250374E0,-5.641929851E0,-8.575378541E0,1.228004335E1
2.213066251E-1,-6.797281192E0,-6.024430141E0,-9.634366014E0,1.324076277E1
2.313326250E-1,-6.617211508E0,-6.246748881E0,-9.577042251E0,1.321094614E1
2.413596250E-1,-6.175295906E0,-6.867678745E0,-8.379655277E0,1.247068216E1
2.513856251E-1,-5.383371238E0,-7.708386734E0,-5.893717389E0,1.109665790E1
2.614126251E-1,-4.572915573E0,-8.313018068E0,-2.127362065E0,9.723347962E0
2.714386251E-1,-3.857794667E0,-8.853746937E0,1.841966194E0,9.831798105E0
2.814648334E-1,-3.270161773E0,-9.156630954E0,4.459509995E0,1.069696582E1
2.914918334E-1,-1.861883272E0,-9.790897731E0,5.430917287E0,1.135002865E1
3.015178334E-1,5.835696638E-2,-1.030501007E1,6.082550295E0,1.196637189E1
3.115448334E-1,1.647455349E0,-9.962329323E0,6.758048129E0,1.215044564E1
3.215708333E-1,3.687938899E0,-8.415727335E0,7.329711692E0,1.175372423E1
3.315978334E-1,6.697392038E0,-6.192797792E0,7.280810258E0,1.167116115E1
3.416238334E-1,9.660953304E0,-3.997224448E0,7.215585737E0,1.270340504E1
3.516508334E-1,1.213350224E1,-2.674366166E0,7.936018839E0,1.474294767E1
3.616768334E-1,1.402857781E1,-1.858119419E0,8.878428619E0,1.670569059E1
3.717038333E-1,1.479664584E1,-1.072385490E0,8.862463381E0,1.728102995E1
3.817298334E-1,1.416006532E1,-8.728787845E-1,8.130712994E0,1.635169291E1
3.917558334E-1,1.322097325E1,-1.315266257E0,6.520693274E0,1.480011824E1
4.017828334E-1,1.222944920E1,-1.686370323E0,5.362564505E0,1.345958286E1
4.118088334E-1,1.181000620E1,-1.118728475E0,4.289906535E0,1.261471751E1
4.218358333E-1,1.149877294E1,-1.360875124E-1,2.629780270E0,1.179644198E1
4.318618334E-1,1.105781453E1,7.786596751E-1,8.238937354E-1,1.111577141E1
4.418888334E-1,1.089369371E1,1.583473946E0,-1.342373949E0,1.108972138E1
4.519148334E-1,1.060042895E1,2.366730702E0,-3.623566318E0,1.144992319E1
4.619418334E-1,1.271020025E1,3.056504513E0,-1.403714398E1,1.918157505E1
4.719678333E-1,1.567407668E1,5.469653921E0,-2.180886776E1,2.740840212E1
4.819948333E-1,1.097737556E1,5.213360519E0,-6.700355991E0,1.387719973E1
4.920208334E-1,4.882160776E0,6.706370437E-1,1.269836315E0,5.088981445E0
5.020468334E-1,2.152903873E0,-1.690893145E0,1.075506442E0,2.941229134E0
5.120738334E-1,2.814485918E0,-1.675903807E0,-2.488440496E-1,3.285103943E0
5.220998334E-1,1.590629768E0,-1.659843260E0,-1.788144620E0,2.912497878E0
5.321268333E-1,-1.258203864E-2,-3.269798076E-1,-3.241740504E0,3.258213559E0
5.421528334E-1,1.599390067E0,-4.250434613E-1,-5.714688510E-2,1.655891390E0
5.521798334E-1,2.116527759E0,-4.446281254E-2,2.903891892E0,3.593640886E0
5.622058334E-1,7.373736548E-1,1.026537765E0,3.255365394E0,3.492120206E0
5.722328334E-1,-1.337837094E-1,1.869291694E0,-8.196670756E-1,2.045483716E0
5.822588333E-1,-1.894872093E0,2.007874213E0,-3.694327567E0,4.611957858E0
5.922858334E-1,-1.295707905E0,8.579754013E-1,-1.003299760E0,1.849754355E0
6.023118334E-1,-2.011784247E0,4.298387629E-1,1.661587192E0,2.644410939E0
6.123378334E-1,-2.296051313E0,1.543708786E0,7.617027497E-1,2.869682827E0
6.223648334E-1,-3.314827484E0,3.034514889E0,-2.743669997E0,5.265366741E0
6.323908333E-1,-3.295679022E0,3.644250258E0,-3.615730756E0,6.100456463E0
6.424178334E-1,-3.553087488E0,4.254455743E0,-1.592329554E0,5.767177627E0
6.524438334E-1,-3.353842446E0,4.359433145E0,1.254037723E-1,5.501694521E0
6.624708334E-1,-2.702140440E0,4.212251710E0,2.703460157E-3,5.004461483E0
6.724968334E-1,-2.976307027E0,3.843014660E0,-1.263502611E0,5.022310628E0
6.825238334E-1,-4.315881329E0,3.396323637E0,-1.998178945E0,5.844190704E0
6.925498333E-1,-4.743739640E0,2.524136578E0,-1.892423279E0,5.696981402E0
7.025768334E-1,-2.350917492E0,2.417939447E0,1.637954208E0,3.749151666E0
7.126028334E-1,-2.298339913E0,2.646272634E0,-2.972484702E-1,3.517596035E0
7.226288334E-1,-5.948925630E0,3.404609141E0,2.871023816E-1,6.860284785E0
7.326558334E-1,-2.969283351E0,1.413247465E0,1.984800516E0,3.841008345E0
7.426818333E-1,7.605362302E-1,9.680650234E-2,-1.664332168E0,1.832426921E0
7.527088334E-1,1.645155054E0,1.315019504E0,-1.473465600E0,2.570391473E0
7.627348334E-1,2.936003923E0,1.100089306E-1,-1.016635359E0,3.108981900E0
7.727618334E-1,3.949828672E0,-1.117440333E0,-1.513220235E0,4.374889132E0
7.827878334E-1,3.454553134E0,-3.279428440E-1,-1.248110985E0,3.687718115E0
7.928148333E-1,4.013645183E0,-8.423376077E-1,-1.360242455E0,4.320780004E0
8.028408334E-1,3.788274781E0,-1.763018550E0,-1.435445250E0,4.418117618E0
8.128678334E-1,1.671031907E0,-8.862741709E-1,-1.276788070E0,2.282108086E0
8.228938334E-1,-9.947324198E-1,3.012175602E-1,-1.410563739E0,1.752117196E0
8.329198334E-1,-4.389017717E0,2.197257927E0,-3.713735645E0,6.154937154E0
8.429468333E-1,-1.603269694E0,3.827235948E0,2.051065257E0,4.628723086E0
8.529728334E-1,3.180352049E0,2.785508872E0,3.989511970E0,5.812908445E0
8.629998334E-1,3.258594811E0,5.435928351E-1,3.036058554E0,4.486823471E0
8.730258334E-1,4.478088353E0,-6.536017656E-1,4.929039073E-1,4.552298851E0
8.830528334E-1,5.769386873E0,-2.251158146E0,-5.069740623E-1,6.213739662E0
8.930788334E-1,4.038541751E0,-1.982186810E0,-2.801868979E-1,4.507481417E0
9.031058333E-1,2.406689112E0,-1.405099955E0,-8.344163847E-1,2.909073575E0
