"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.969041657E-3,1.150919151E-1,1.757807511E-1,-1.553254366E0,1.567400442E0
1.699504175E-2,-1.996449924E-1,-1.262472332E-2,-1.048161938E0,1.067080575E0
2.702104172E-2,-3.248981988E-1,-1.028536928E-1,-4.708955723E-1,5.812747730E-1
3.704704170E-2,6.337036908E-2,-2.048367351E-1,1.070204186E-1,2.396398584E-1
4.707304167E-2,1.007125009E0,-3.293488070E-1,6.363115489E-2,1.061517943E0
5.710004165E-2,1.332303874E0,-5.450990778E-1,1.638769895E-1,1.448800292E0
6.712604174E-2,9.988131917E-1,-6.917229804E-1,7.606642842E-2,1.217330923E0
7.715204172E-2,4.489068255E-1,-8.923818800E-1,-3.823652190E-1,1.069610171E0
8.717804169E-2,8.934025115E-1,-1.304819329E0,-9.418338293E-1,1.840590256E0
9.720404167E-2,1.199173883E0,-1.931989926E0,-1.213238776E0,2.577314766E0
1.072300418E-1,9.245632008E-1,-2.210424980E0,-1.419144382E0,2.784738135E0
1.172570417E-1,3.879443398E-1,-2.611149579E0,-1.582697436E0,3.077910672E0
1.272830417E-1,-2.006665009E-1,-3.341818231E0,-1.805067047E0,3.803456741E0
1.373090417E-1,-9.126041830E-1,-4.279671569E0,-2.744060299E0,5.165104264E0
1.473350417E-1,-2.821953982E-1,-3.512196740E0,-3.918429708E0,5.269653837E0
1.573610418E-1,1.040581315E0,-2.321188201E0,-5.109635006E0,5.707809916E0
1.673880417E-1,4.421433511E-1,-2.090780130E0,-5.625382231E0,6.017622250E0
1.774140417E-1,-2.307681133E0,-2.512863146E0,-5.539413543E0,6.505764813E0
1.874400417E-1,-5.039184828E0,-1.940328055E0,-5.339589041E0,7.594041600E0
1.974660417E-1,-6.742464715E0,-4.736738768E-1,-5.119512123E0,8.479068448E0
2.074920418E-1,-6.565648422E0,1.626783103E-1,-4.769320623E0,8.116687911E0
2.175180417E-1,-4.366791866E0,-1.642239340E0,-4.794349045E0,6.689663969E0
2.275450417E-1,-1.921043646E0,-3.594709724E0,-4.539090600E0,6.100466389E0
2.375710417E-1,-8.144346946E-1,-4.365631778E0,-3.393024638E0,5.588797803E0
2.475970417E-1,-9.774392796E-1,-4.659896999E0,-1.353989443E0,4.950082322E0
2.576230417E-1,-2.843233754E0,-5.360026814E0,1.012923692E0,6.151412848E0
2.676490417E-1,-4.350770495E0,-6.137608262E0,2.455958628E0,7.913985839E0
2.776760417E-1,-4.315227025E0,-6.305947847E0,2.995513961E0,8.207269120E0
2.877020417E-1,-4.189548726E0,-6.638646231E0,2.003625627E0,8.101756474E0
2.977280417E-1,-4.230442983E0,-7.330522116E0,9.039526427E-1,8.511776120E0
3.077540417E-1,-3.995245165E0,-7.293909191E0,1.296995462E0,8.416964562E0
3.177800417E-1,-3.669369897E0,-7.174954605E0,2.725555615E0,8.507226483E0
3.278060417E-1,-3.148967119E0,-7.324049249E0,3.697575111E0,8.788046029E0
3.378330417E-1,-2.235494624E0,-7.111800583E0,3.965277016E0,8.443847793E0
3.478590416E-1,-7.912686110E-1,-6.444740866E0,3.999186481E0,7.625895577E0
3.578850417E-1,8.589875543E-1,-5.682093206E0,3.954826872E0,6.976008773E0
3.679110417E-1,2.524038929E0,-5.106797937E0,4.175600193E0,7.062987658E0
3.779370417E-1,4.306873693E0,-4.899847434E0,4.616879326E0,7.992073610E0
3.879640417E-1,5.435402686E0,-4.751463227E0,4.654920434E0,8.590011024E0
3.979900418E-1,7.007095662E0,-4.109038121E0,3.900733403E0,9.011065696E0
4.080160417E-1,9.106067156E0,-2.529324520E0,3.101316112E0,9.946662918E0
4.180420417E-1,1.030807752E1,-6.249667811E-1,2.299138936E0,1.057984336E1
4.280680417E-1,1.115597993E1,5.652608621E-1,1.049525508E0,1.121948803E1
4.380940417E-1,1.101487843E1,1.246538377E0,2.601160195E-1,1.108823994E1
4.481210418E-1,1.074750163E1,9.716239312E-1,-2.467027992E-2,1.079136010E1
4.581470417E-1,1.019789961E1,5.179451931E-1,-4.830911100E-2,1.021115848E1
4.681730417E-1,9.594838251E0,9.588398713E-1,-2.618652141E-1,9.646184135E0
4.781990417E-1,9.173607759E0,1.415164182E0,-5.166965201E-1,9.296490966E0
4.882250417E-1,8.359001741E0,1.307592371E0,3.315271872E-1,8.467149355E0
4.982520418E-1,7.763928266E0,1.605198691E0,-4.209340382E-1,7.939296594E0
5.082780417E-1,7.452878612E0,1.907071724E0,-8.462011555E-1,7.739404277E0
5.183040417E-1,7.832419041E0,2.076045147E0,-3.200557103E0,8.712078814E0
5.283300417E-1,8.184765240E0,2.428632250E0,-7.403415846E0,1.130040720E1
5.383560417E-1,9.417746555E0,3.139977610E0,-1.006540989E1,1.413739317E1
5.483830418E-1,6.464312081E0,2.116145936E0,-5.490829028E0,8.741544928E0
5.584090417E-1,3.567026081E0,-4.530995715E-1,-6.969857669E-1,3.662617021E0
5.684350417E-1,2.277485819E0,-1.332671079E0,8.194404960E-2,2.640013009E0
5.784610417E-1,1.295828358E0,-8.730068386E-1,-2.685228539E-1,1.585375853E0
5.884870416E-1,6.924506664E-2,9.916994691E-2,-1.583104987E0,1.587718790E0
5.985130417E-1,-1.290229064E0,1.301487293E0,-1.392355363E0,2.301567655E0
6.085400417E-1,-1.364105126E0,1.305208461E0,7.822229683E-2,1.889568906E0
6.185660417E-1,-1.154415786E-1,1.040312051E0,1.378819059E0,1.731103093E0
6.285920417E-1,2.123124003E-2,8.704779178E-1,2.246257594E0,2.409119289E0
6.386180418E-1,-5.324065268E-1,5.568028647E-1,3.891612623E0,3.967131829E0
6.486440417E-1,-2.283652292E0,1.793094288E0,3.442631246E0,4.503550246E0
6.586702917E-1,-2.951214870E0,2.247368565E0,-1.314732406E0,3.935588390E0
6.686972918E-1,-1.659122298E0,2.415675990E0,-3.148951916E0,4.301636370E0
6.787232917E-1,-7.094303960E-1,2.125339513E0,-1.986630402E0,2.994504949E0
6.887492917E-1,-1.971879923E-1,1.508306234E0,4.346305561E-1,1.582015968E0
6.987752917E-1,-7.041088450E-1,8.421200913E-1,1.385096922E0,1.767322551E0
7.088012917E-1,-1.052953146E0,2.061336476E-1,3.496535558E-1,1.128476414E0
7.188282917E-1,-8.547904229E-1,-2.140156943E-1,-3.469597435E-1,9.470218836E-1
7.288542917E-1,-3.652013022E-1,-1.820244080E-1,-6.529576948E-1,7.699731342E-1
7.388802917E-1,3.254794121E-2,8.068531948E-1,-1.294526183E0,1.525735719E0
7.489062917E-1,-2.402340245E-1,1.969703590E0,-9.623730513E-1,2.205358589E0
7.589322918E-1,-5.095526844E-1,2.817089683E0,-1.194257252E0,3.101916924E0
7.689592917E-1,-1.362205365E0,1.908867989E0,-1.226724502E0,2.646551238E0
7.789852917E-1,-7.955265534E-1,6.082285416E-1,-5.952015299E-1,1.164933181E0
7.890112917E-1,-1.439247694E0,5.062683034E-1,-9.030416465E-1,1.772914475E0
7.990372917E-1,-2.846387157E0,1.638224934E0,-9.719282788E-1,3.424959177E0
8.090632918E-1,-2.585876743E0,2.165403466E0,-7.120210049E-1,3.447129909E0
8.190892917E-1,5.201022309E-1,1.775997614E0,2.511940455E0,3.120019024E0
8.291162917E-1,-1.524025304E0,7.801746887E-1,-1.487300697E0,2.267904107E0
8.391422917E-1,-4.633972199E0,1.394666183E0,-1.470718578E0,5.057845909E0
8.491682917E-1,-5.996771641E0,2.194086397E0,1.358368130E-1,6.386997485E0
8.591942918E-1,-5.337839554E0,2.876046574E0,-3.522554205E-1,6.073570522E0
8.692202917E-1,-3.907628147E0,2.734359183E0,-9.387979549E-1,4.860824979E0
8.792462917E-1,-2.861989868E-1,8.461131549E-1,-2.045694589E0,2.232192573E0
8.892732917E-1,7.296255094E-1,-1.116310651E0,-1.248047835E0,1.826506571E0
8.992992917E-1,1.141532616E0,-1.072186393E-1,-5.784457487E-1,1.284208719E0
9.093252918E-1,1.931423623E0,1.429213872E0,-2.085726382E0,3.181714010E0
9.193512917E-1,5.235470595E0,2.109400588E-1,-7.890349746E-1,5.298794604E0
9.293772917E-1,8.183168950E0,-2.619802288E0,1.563665918E0,8.733422536E0
9.394042917E-1,9.977155523E0,-5.025398263E0,3.284186904E0,1.164406045E1
9.494302917E-1,9.904790382E0,-4.502534977E0,1.113750740E0,1.093700756E1
9.594562917E-1,5.239001729E0,-2.512969565E0,-6.310473007E-1,5.844687831E0
9.694822917E-1,2.794442832E0,9.919041216E-2,-1.243451339E-1,2.798966094E0
9.795082917E-1,2.487335372E-1,2.476198765E0,-2.351750135E-3,2.488661131E0
9.895352917E-1,-2.210489007E0,4.718195493E0,-8.400332201E-1,5.277621261E0
9.995612917E-1,-3.750406458E0,6.218750659E0,-7.472338146E-1,7.300463460E0
1.009587292E0,-5.501548728E0,6.687818391E0,-6.690558652E-2,8.660163370E0
1.019613292E0,-5.527806235E0,6.452161567E0,3.308968574E-1,8.502736230E0
