"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.802916639E-3,7.106603578E-2,6.345632315E-2,-3.094656426E-1,3.237994292E-1
1.182991662E-2,-2.302431795E-1,-6.751721442E-2,-1.586074787E0,1.604120858E0
2.185591671E-2,-6.023804489E-1,-1.048043239E-1,-2.337884048E0,2.416515668E0
3.188291669E-2,-8.787881269E-1,1.916419083E-1,-2.245890389E0,2.419301311E0
4.190991668E-2,-9.667177518E-1,5.235240215E-1,-1.255024148E0,1.668444253E0
5.193591665E-2,-8.112717895E-1,5.733045843E-1,-2.541866505E-1,1.025402807E0
6.196291663E-2,-2.509177646E-1,2.951665691E-1,2.354100716E-1,4.533221039E-1
7.198991673E-2,6.383500345E-2,4.870789111E-2,5.276094711E-1,5.336844764E-1
8.201591671E-2,2.970322694E-1,-1.143113118E-1,6.896498501E-1,7.595473394E-1
9.204291669E-2,4.569421058E-1,-2.611530232E-1,7.278479558E-1,8.981979940E-1
1.020699167E-1,6.483359825E-1,-2.912465957E-1,5.797777444E-1,9.172275392E-1
1.120959166E-1,5.671241505E-1,-1.781523818E-1,5.270229954E-1,7.944314387E-1
1.221230417E-1,7.032197759E-2,3.191059470E-2,7.857839227E-2,1.101727295E-1
1.321500416E-1,-4.893265077E-1,1.938004079E-1,-6.199025077E-1,8.131901058E-1
1.421760417E-1,-9.777054010E-1,3.620821050E-1,-9.309650248E-1,1.397750757E0
1.522030417E-1,-1.189387837E0,4.456598666E-1,-8.015977174E-1,1.501937097E0
1.622300417E-1,-1.014009301E0,4.396717331E-1,-6.408647758E-1,1.277589041E0
1.722560417E-1,-6.227480552E-1,3.504297736E-1,-5.591563690E-1,9.073433812E-1
1.822830416E-1,-2.464430549E-1,1.671166393E-1,-6.526170945E-1,7.173361991E-1
1.923100416E-1,1.237480601E-1,-1.278522938E-1,-7.131053710E-1,7.349687487E-1
2.023360417E-1,5.245855104E-1,-4.817023963E-1,-3.774576509E-1,8.060405911E-1
2.123630417E-1,8.343571816E-1,-6.115896674E-1,1.598558593E-1,1.046779692E0
2.223900417E-1,1.003128437E0,-4.566106783E-1,7.636370087E-1,1.340858476E0
2.324160417E-1,8.651144861E-1,-1.073311982E-1,1.104910335E0,1.407398276E0
2.424430416E-1,7.212311004E-1,1.173955719E-1,1.077391584E0,1.301817439E0
2.524700416E-1,6.460676283E-1,2.306390360E-2,1.015510501E0,1.203825943E0
2.624960417E-1,5.109839366E-1,-1.583452311E-1,8.785084838E-1,1.028569371E0
2.725230417E-1,2.788170232E-1,-3.910109121E-1,9.595725274E-1,1.073036766E0
2.825500417E-1,1.703067340E-1,-5.159352127E-1,8.583116162E-1,1.015821026E0
2.925760417E-1,2.439040294E-1,-4.974147418E-1,5.908517861E-1,8.099484145E-1
3.026030416E-1,4.809042513E-1,-4.478633898E-1,3.222768921E-1,7.319241150E-1
3.126300417E-1,6.077005380E-1,-4.551785490E-1,-1.151316762E-2,7.593549950E-1
3.226560417E-1,5.921760343E-1,-4.793088385E-1,-4.043390554E-1,8.624960812E-1
3.326830417E-1,3.696045479E-1,-5.631660971E-1,-5.023155856E-1,8.402883566E-1
3.427100417E-1,1.525819230E-1,-8.337976031E-1,-5.963546008E-1,1.036406530E0
3.527360416E-1,2.344601914E-2,-9.089153208E-1,-4.716761756E-1,1.024282769E0
3.627630416E-1,-1.342666894E-2,-7.731396112E-1,-2.113160348E-1,8.016106289E-1
3.727900417E-1,1.164166018E-1,-6.025663903E-1,-3.710543650E-1,7.171613638E-1
3.828160417E-1,2.878046322E-1,-4.110352868E-1,-6.416032791E-1,8.145159796E-1
3.928430417E-1,5.232228899E-1,-3.648194790E-2,-7.658197743E-1,9.282095947E-1
4.028700417E-1,5.032406151E-1,2.585431185E-1,-1.003765199E0,1.152232717E0
4.128960416E-1,4.388135080E-1,3.310803138E-1,-1.288115880E0,1.400504906E0
4.229230416E-1,4.730222046E-1,3.724753846E-1,-1.396329131E0,1.520599540E0
4.329500417E-1,4.557129845E-1,4.802173497E-1,-1.269938056E0,1.432140250E0
4.429760417E-1,5.151205494E-1,6.083605425E-1,-1.050285062E0,1.318541027E0
4.530030417E-1,7.510274881E-1,5.514902307E-1,-1.048986395E0,1.403052465E0
