"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.141166578E-3,6.948516794E-1,-1.418562584E0,-6.992351907E-1,1.727445661E0
1.916816668E-2,1.134687719E0,-1.745060581E0,-1.100173506E0,2.354386203E0
2.919616667E-2,1.080509612E0,-2.387017617E0,-2.160149742E0,3.395821113E0
3.922316665E-2,9.449487872E-1,-3.124538037E0,-2.957357955E0,4.404728394E0
4.925016663E-2,5.000629458E-1,-3.706752316E0,-3.621368349E0,5.206187127E0
5.927816662E-2,8.887504667E-1,-3.698463303E0,-4.095062399E0,5.589100486E0
6.930516660E-2,1.937640383E0,-3.669555253E0,-4.512447762E0,6.130438061E0
7.933216658E-2,1.445772310E0,-4.571232160E0,-5.471101692E0,7.274570417E0
8.936016657E-2,-1.199760944E-1,-5.808013580E0,-6.613531271E0,8.802625283E0
9.938716667E-2,-8.150141537E-1,-7.492724463E0,-6.728502733E0,1.010336167E1
1.094151667E-1,-7.233149019E-1,-8.484749622E0,-6.850653992E0,1.092911802E1
1.194421666E-1,-3.505312228E-1,-8.283172710E0,-6.139175316E0,1.031616672E1
1.294691666E-1,-1.659311748E0,-7.936837449E0,-4.902861089E0,9.475481572E0
1.394971666E-1,-4.123673410E0,-8.351974558E0,-5.169073123E0,1.065267470E1
1.495241666E-1,-5.693975918E0,-9.645294460E0,-6.073735617E0,1.274140225E1
1.595521666E-1,-6.185298153E0,-1.083569284E1,-6.300682429E0,1.397743724E1
1.695791667E-1,-6.392238716E0,-1.146366041E1,-5.993449253E0,1.442905610E1
1.796061667E-1,-6.528188235E0,-1.181171710E1,-5.557315378E0,1.459512441E1
1.896341667E-1,-6.438580239E0,-1.208546385E1,-5.165052577E0,1.463528340E1
1.996611666E-1,-6.169796600E0,-1.213258656E1,-5.231806730E0,1.458210713E1
2.096891666E-1,-6.053291413E0,-1.221474930E1,-4.626274924E0,1.439600142E1
2.197161666E-1,-5.105992776E0,-1.154622661E1,-2.862531612E0,1.294529252E1
2.297431666E-1,-3.133579586E0,-1.040230540E1,-1.195270574E0,1.092959059E1
2.397711666E-1,-1.062717996E0,-9.763132228E0,1.294292879E-1,9.821653240E0
2.497981667E-1,1.106157546E0,-9.674268583E0,1.082838850E0,9.797326018E0
2.598261667E-1,4.326579394E0,-9.421227987E0,2.394403673E0,1.064011255E1
2.698531667E-1,7.352955544E0,-8.981921997E0,4.777607882E0,1.255254616E1
2.798801666E-1,9.977029223E0,-8.526225092E0,7.501597028E0,1.511659963E1
2.899081666E-1,1.397704396E1,-6.657652606E0,9.735536878E0,1.828832345E1
2.999351666E-1,1.816087645E1,-3.180837368E0,1.052084601E1,2.122789110E1
3.099621666E-1,2.140464974E1,2.356615019E-1,8.987267522E0,2.321606221E1
3.199901666E-1,2.216756637E1,1.919105878E0,5.357169864E0,2.288631109E1
3.300171667E-1,2.036918269E1,2.117976115E0,1.412733495E0,2.052767016E1
3.400451667E-1,1.944302700E1,2.487550550E0,-6.477089417E-1,1.961220879E1
3.500721666E-1,1.925842456E1,3.091555647E0,-4.293780023E-1,1.950971548E1
3.600991666E-1,1.918835854E1,3.448090206E0,1.433466260E0,1.954833126E1
3.701271666E-1,1.964169083E1,3.268926841E0,2.503190097E0,2.006857897E1
3.801541666E-1,1.901606916E1,3.914180537E0,2.402163367E0,1.956277292E1
3.901821666E-1,1.765463504E1,4.925257679E0,1.105969850E0,1.836212055E1
4.002091666E-1,1.690793625E1,5.941741741E0,-2.244147626E0,1.806152822E1
4.102361667E-1,1.586717162E1,7.089978189E0,-4.021593888E0,1.783838960E1
4.202641667E-1,1.367229878E1,6.950625592E0,-6.996248492E0,1.685794895E1
4.302911666E-1,1.002959335E1,5.408620684E0,-1.154898065E1,1.622420644E1
4.403191666E-1,8.360861156E0,4.564651119E0,-1.161430340E1,1.502105464E1
4.503461666E-1,6.278853604E0,5.288985482E0,-6.802665308E0,1.066178340E1
4.603731666E-1,1.693818507E0,1.329769691E0,-5.953774141E0,6.331250673E0
4.704011666E-1,-2.051914857E0,-1.601967520E0,-5.547285649E0,6.127726543E0
4.804281667E-1,-3.713142153E0,-1.062678820E0,-2.750423239E0,4.741470122E0
4.904561667E-1,-2.483517140E0,1.977133062E0,7.748051906E-1,3.267603956E0
5.004831250E-1,5.701859719E-1,4.879125486E0,3.661149881E0,6.126581102E0
5.105101250E-1,3.781467453E0,4.537648092E0,3.508074453E0,6.869958709E0
5.205381250E-1,3.436523829E0,2.308007700E0,4.173217453E0,5.878123806E0
5.305651249E-1,-1.338634070E0,-1.118285256E0,5.288001981E0,5.568255385E0
5.405921249E-1,-6.206528224E0,-5.918376267E-1,6.501606792E0,9.007894052E0
5.506201249E-1,-9.334617859E0,-2.132400026E0,4.035058272E0,1.039056859E1
5.606471250E-1,-8.117054483E0,-1.201708066E0,2.147163076E0,8.481803171E0
5.706751250E-1,-6.044845694E0,1.053229135E0,1.559782197E0,6.331064017E0
5.807021250E-1,-3.597596494E0,6.469897342E-1,1.168409343E0,3.837509172E0
5.907291250E-1,-2.343630107E0,3.055222803E-1,4.819099724E-1,2.412091036E0
6.007571250E-1,-1.862610081E0,7.981157005E-1,-8.598786700E-1,2.201294236E0
6.107841249E-1,-1.528805403E0,3.582846308E-1,-7.467268610E-1,1.738739441E0
6.208121249E-1,-1.367722213E0,-4.666329521E-1,-6.264730239E-1,1.575080574E0
6.308391250E-1,-2.823293579E0,-1.764016085E0,-6.177992642E-1,3.385914251E0
6.408661250E-1,-3.080312036E0,-1.919920980E0,1.231145289E0,3.832771521E0
6.508941250E-1,-2.642043343E0,-4.262298614E-1,7.193910547E-1,2.771207031E0
6.609211250E-1,-9.250745398E-1,-8.378066003E-2,-3.630291346E-1,9.972824353E-1
6.709491250E-1,1.209615841E0,-6.117959279E-1,-2.867099603E-1,1.385520603E0
6.809761249E-1,1.693985737E0,-1.707433748E-1,5.529092769E-1,1.790097664E0
6.910031249E-1,1.495311967E0,-2.513063121E-1,9.814270806E-1,1.806187104E0
7.010311249E-1,-5.015449226E-2,-1.061906987E-1,5.312663928E-1,5.440918284E-1
7.110581250E-1,-9.328548449E-1,9.272748470E-2,1.185276660E-1,9.449155284E-1
7.210861250E-1,-1.434547117E0,6.695488769E-1,-3.602615744E-4,1.583104943E0
7.311131250E-1,-2.004785129E0,1.407192673E0,2.434242288E-1,2.461424382E0
7.411401250E-1,-2.513768295E0,2.252555630E0,8.627812278E-1,3.483881364E0
7.511681250E-1,-2.594625640E0,3.038659980E0,1.438880489E0,4.246871054E0
7.611951249E-1,-2.013632844E0,3.792605814E0,1.599179567E0,4.582133933E0
7.712221249E-1,-7.412503588E-1,4.101347571E0,1.766906948E0,4.526860298E0
7.812501249E-1,8.656557190E-1,4.878747756E0,2.527160392E-1,4.961391426E0
7.912771250E-1,1.826334540E0,5.831916413E0,-2.915545685E0,6.771052617E0
8.013051250E-1,1.304009197E0,6.925417660E0,-9.042455882E-1,7.104893373E0
8.113321250E-1,-3.027843216E-1,6.907940918E0,1.991491485E0,7.195648991E0
8.213591250E-1,-5.757256240E-1,6.359648675E0,3.468073651E0,7.266644763E0
8.313871250E-1,-5.788831204E-1,5.468255852E0,2.291776999E0,5.957278703E0
8.414141249E-1,-1.271718534E0,4.416536468E0,-1.837305086E0,4.949621438E0
8.514421249E-1,-1.738806399E0,4.070913398E0,-4.487158554E0,6.303203589E0
8.614691249E-1,-2.790563205E0,4.271881616E0,-3.295912326E0,6.074475582E0
8.714961250E-1,-3.299430888E0,4.185679039E0,-2.002733341E0,5.693601148E0
8.815241250E-1,-2.991658307E0,4.385501786E0,-8.135886025E-1,5.370714269E0
8.915511250E-1,-7.174191543E-1,-6.005441308E-2,7.265054351E-1,1.022793685E0
9.015791250E-1,2.493842738E0,-2.182704090E1,1.751538126E0,2.203875795E1
9.116061250E-1,-2.248935619E0,-3.802591221E1,-3.265868747E-1,3.809375762E1
9.216331249E-1,-8.314286037E-1,-3.896784719E1,-2.342495162E0,3.904704435E1
9.316611249E-1,7.347067398E0,-2.149448870E1,-4.961464223E0,2.325099075E1
9.416881250E-1,1.257614114E1,-6.147415797E0,-4.754697322E0,1.478367997E1
9.517151250E-1,1.079655041E1,3.885065496E-2,-5.031688113E0,1.191154463E1
9.617431250E-1,7.706710922E0,2.530805327E0,-4.317853010E0,9.189244988E0
9.717701250E-1,-1.280970583E0,4.099225616E0,-3.149847125E0,5.325980961E0
9.817981250E-1,-8.102998361E0,3.434591324E0,-4.025253661E0,9.677689137E0
9.918251249E-1,-8.206262528E0,2.352372279E0,-4.027217156E0,9.439008319E0
1.001852125E0,-6.649898613E0,1.333739365E0,-3.714298732E0,7.732789104E0
1.011880125E0,-3.663095834E0,9.874193072E-2,-3.895066574E0,5.347856082E0
1.021907125E0,-9.355340391E-2,-1.763986849E0,-4.770629815E0,5.087171186E0
1.031935125E0,1.017317875E0,-3.971207846E0,-5.490467670E0,6.852055360E0
1.041962125E0,-6.796113503E-1,-5.463642399E0,-3.880864856E0,6.736050169E0
1.051989125E0,-1.753840468E0,-6.085815965E0,-2.931970806E-1,6.340274195E0
1.062017125E0,-2.794276772E0,-4.828693836E0,-1.339902331E0,5.737560901E0
1.072044125E0,-3.104487934E0,-2.646959682E0,-7.714579520E-1,4.152034232E0
1.082072125E0,-2.780789584E0,-1.537741703E0,2.303793904E0,3.924908484E0
1.092099125E0,-2.254618528E0,-1.173566002E0,4.718127081E0,5.359224293E0
1.102126125E0,-1.503353204E0,-9.550099450E-1,5.102986722E0,5.404867097E0
1.112154125E0,-8.552693099E-1,-7.505497706E-1,3.634438630E0,3.808405796E0
1.122181125E0,-5.133836339E-1,-7.968801838E-1,1.875451443E0,2.101404031E0
1.132209125E0,-2.010427693E-1,-6.909865236E-1,3.364955664E-1,7.944242173E-1
1.142236125E0,3.462300110E-1,1.951578391E-1,-1.011410433E-1,4.101113426E-1
1.152263125E0,7.090228450E-1,9.515758753E-1,-3.114314765E-1,1.226865765E0
1.162291125E0,1.120771492E0,1.462545925E0,-1.598570287E-2,1.842667865E0
1.172318125E0,1.473095033E0,1.625041217E0,2.464075148E-2,2.193484693E0
1.182345125E0,1.836664231E0,1.785611022E0,5.149549270E-1,2.612837690E0
1.192373125E0,1.865865664E0,1.764266346E0,1.221786820E0,2.843739343E0
1.202400125E0,1.547253661E0,1.632712179E0,1.276878117E0,2.586534492E0
1.212428125E0,1.205921862E0,1.467220774E0,1.093305074E0,2.191415141E0
1.222455125E0,6.893560275E-1,1.398548149E0,9.659924778E-1,1.834200133E0
1.232482125E0,3.017376700E-1,1.573891529E0,1.006309907E0,1.892310702E0
1.242510125E0,3.189010021E-1,1.881472029E0,1.037886041E0,2.172289640E0
1.252537125E0,2.093969786E-1,2.053650311E0,1.046939870E0,2.314607911E0
1.262565125E0,-1.425109711E-1,2.188353787E0,9.127679050E-1,2.375362482E0
1.272592125E0,-5.615677607E-1,2.395651031E0,7.609736019E-1,2.575574311E0
1.282619125E0,-7.638605185E-1,2.539659181E0,6.229486147E-1,2.724227712E0
1.292647125E0,-9.218541858E-1,2.600468470E0,4.518359882E-1,2.795783819E0
1.302674125E0,-1.074549399E0,2.628893539E0,3.775971070E-1,2.865016095E0
1.312702125E0,-1.015447497E0,2.654685023E0,2.877482066E-1,2.856796321E0
1.322729125E0,-7.617942587E-1,2.688376679E0,9.091250896E-2,2.795704696E0
1.332756125E0,-5.550969395E-1,2.705556384E0,-1.317874700E-1,2.765056219E0
1.342784125E0,-5.929681858E-1,2.577822788E0,-1.798264396E-1,2.651248601E0
1.352811125E0,-6.300887959E-1,2.417054763E0,-2.154555711E-1,2.507107242E0
1.362838125E0,-4.982988408E-1,2.163396701E0,-1.565100825E-1,2.225552162E0
1.372866125E0,-3.278444646E-1,1.933453776E0,6.336715311E-2,1.962075660E0
1.382893125E0,-3.667578310E-1,1.710013540E0,1.151837164E-1,1.752690760E0
1.392921125E0,-4.906533140E-1,1.423637967E0,-1.525070786E-2,1.505894525E0
1.402948125E0,-5.206834441E-1,1.063529590E0,-3.031670219E-1,1.222340656E0
1.412975125E0,-5.321855021E-1,7.621851450E-1,-6.806802213E-1,1.152160218E0
1.423003125E0,-5.712644908E-1,7.114892006E-1,-1.036603746E0,1.380980568E0
1.433030125E0,-7.313127235E-1,7.922725779E-1,-1.513887402E0,1.858593340E0
1.443058125E0,-1.104261879E0,8.942930424E-1,-2.066145226E0,2.507610503E0
1.453085125E0,-1.537385607E0,8.397098690E-1,-2.380926572E0,2.955922616E0
1.463112125E0,-1.725350786E0,7.177679408E-1,-2.464286233E0,3.092690219E0
1.473140125E0,-1.937831587E0,7.032440418E-1,-2.578137369E0,3.300990114E0
1.483167125E0,-2.055904997E0,6.859889084E-1,-2.710519793E0,3.470481766E0
1.493194125E0,-2.021167274E0,7.198132968E-1,-3.013978298E0,3.699636943E0
1.503222542E0,-1.818913838E0,8.214928687E-1,-3.207134051E0,3.777433905E0
1.513249542E0,-1.622345358E0,1.049268816E0,-3.105983067E0,3.657881945E0
1.523277542E0,-1.561560336E0,1.365558743E0,-3.008766675E0,3.654572242E0
1.533304542E0,-1.644137054E0,1.503326161E0,-3.142323512E0,3.851931107E0
1.543331542E0,-2.134481050E0,1.215703377E0,-3.371938701E0,4.171799930E0
1.553359542E0,-2.798404613E0,3.179563844E-1,-2.801822603E0,3.972703682E0
1.563386542E0,-3.193626690E0,-1.217830009E0,-2.266885402E0,4.101357189E0
1.573414542E0,-3.034165810E0,-2.729819990E0,-1.008456127E0,4.204172107E0
1.583441542E0,-2.047369670E0,-3.115849659E0,3.314219373E-1,3.743004430E0
1.593468542E0,-5.214216551E-1,-2.843761758E0,-8.495045400E-1,3.013390025E0
1.603496542E0,8.232993659E-1,-2.425056678E0,-2.904189223E0,3.872084294E0
1.613523542E0,1.310502384E0,-1.905663130E0,-1.866715996E0,2.972136785E0
1.623551542E0,9.071433221E-1,-8.205514669E-2,1.505405138E0,1.759513195E0
1.633578542E0,1.619434614E-1,2.739645066E0,4.714160037E0,5.454831403E0
1.643605542E0,-1.236223742E0,4.639234693E0,6.136855141E0,7.791773784E0
1.653633542E0,-2.508557256E0,5.185073444E0,5.086260177E0,7.684262405E0
1.663660542E0,-2.961773772E0,4.289737843E0,3.704692049E0,6.395208974E0
1.673687542E0,-3.003441616E0,2.569143766E0,3.446617585E0,5.244076087E0
1.683715542E0,-2.429269889E0,1.203055850E0,3.733374689E0,4.613760087E0
1.693742542E0,-1.564856704E0,1.948491061E-1,4.095033163E0,4.388170380E0
1.703770542E0,-8.780076697E-1,-5.888152009E-1,4.154077762E0,4.286486074E0
1.713797542E0,-4.684814031E-1,-1.298982346E0,3.675110985E0,3.925973856E0
1.723824542E0,1.135675460E-2,-1.725813886E0,2.963522674E0,3.429435695E0
1.733852542E0,6.705702393E-1,-1.956357320E0,2.072011445E0,2.927495489E0
1.743879542E0,1.325263534E0,-2.033813047E0,2.141381642E0,3.237010083E0
1.753907542E0,2.007598956E0,-2.237967412E0,3.110185461E0,4.325760662E0
1.763934542E0,3.018951355E0,-2.584468149E0,3.219509683E0,5.114566012E0
1.773961542E0,4.087142345E0,-2.912067177E0,2.838089958E0,5.765381375E0
1.783989542E0,4.203099064E0,-2.975908247E0,2.568733292E0,5.755037998E0
1.794016542E0,3.274343702E0,-2.309254911E0,2.688168519E0,4.824959575E0
1.804044542E0,2.113029809E0,-4.567529118E-1,1.033684816E0,2.396251760E0
1.814071542E0,1.257956381E0,5.956324697E-1,-6.223391886E-1,1.524643683E0
1.824098542E0,8.418438104E-1,6.823876083E-1,-5.906670141E-1,1.234196650E0
1.834126542E0,9.335635275E-1,7.183947623E-1,-1.421224236E-1,1.186520408E0
1.844153542E0,9.590876471E-1,7.249383813E-1,1.484386591E-1,1.211370632E0
1.854181542E0,5.565349160E-1,7.964726329E-1,3.083469971E-1,1.019400627E0
1.864208542E0,3.042702453E-1,1.207294496E0,4.774836302E-2,1.245961592E0
1.874235542E0,1.099590392E0,1.790349605E0,-1.910297231E-1,2.109725834E0
1.884263542E0,1.192878771E0,1.662246466E0,1.171770322E-1,2.049330020E0
1.894290542E0,-4.430479154E-2,1.179020870E0,-2.776170101E-1,1.212074391E0
1.904317542E0,-3.691863258E-1,1.156354723E0,-9.537434381E-1,1.543723205E0
1.914345542E0,-4.068228064E-1,1.066415191E0,-1.193243052E0,1.651234428E0
1.924372542E0,-4.239747365E-1,9.189799869E-1,-1.322073001E0,1.664979223E0
1.934400542E0,-2.821724479E-1,8.219700015E-1,-1.609230346E0,1.828900839E0
1.944427542E0,-2.653962015E-1,9.294231141E-1,-1.943510402E0,2.170597879E0
1.954454542E0,-2.322100367E-1,1.075939136E0,-2.204936491E0,2.464408946E0
1.964482542E0,1.709414493E-1,1.258653515E0,-2.244990503E0,2.579420867E0
