"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.552166655E-3,-1.629530709E0,5.823230374E-1,-2.010041192E0,2.652307683E0
1.657816675E-2,-1.293462867E0,9.662699282E-1,-2.384239020E0,2.879465135E0
2.660416672E-2,-1.332135328E0,9.687690282E-1,-2.032899712E0,2.616443999E0
3.663016669E-2,-1.073984265E0,6.357402760E-1,-1.141542556E0,1.691368472E0
4.665716668E-2,-6.180964489E-1,4.138969141E-1,6.806159019E-2,7.469847761E-1
5.668316665E-2,-1.004675464E0,-6.988241315E-2,5.722868764E-1,1.158347361E0
6.670916674E-2,-8.880200033E-1,4.224750718E-1,-3.600276858E-1,1.047227123E0
7.673516672E-2,-2.807721859E-1,1.051549814E0,-1.160288145E0,1.590867251E0
8.676216670E-2,1.037276761E0,-9.135403222E-1,-1.352207211E0,1.933639920E0
9.678816667E-2,2.874099451E-1,-1.546216365E0,-1.382481755E0,2.093954471E0
1.068141666E-1,-1.250081643E0,-1.540111287E0,-5.609678364E-1,2.061390745E0
1.168401667E-1,-1.365078395E0,-1.416265505E0,3.919090444E-1,2.005701798E0
1.268671667E-1,-5.542411995E-1,-1.013569371E0,1.817695863E0,2.153723387E0
1.368931667E-1,6.680385411E-1,-7.735199726E-1,2.363760316E0,2.575261438E0
1.469191667E-1,1.613324566E0,-7.373069966E-1,1.683564829E0,2.445573204E0
1.569451666E-1,1.609603983E0,-5.247715981E-1,6.350029421E-1,1.808158994E0
1.669722500E-1,1.188090559E0,-2.721191838E-2,-7.685878462E-1,1.415283343E0
1.769982501E-1,9.041654813E-1,3.210407907E-1,-2.030523403E0,2.245797787E0
1.870242500E-1,8.552004589E-1,7.487888816E-1,-1.271955346E0,1.705849646E0
1.970502500E-1,5.580759497E-1,1.080363870E0,-8.871220171E-2,1.219222995E0
2.070772500E-1,4.534801521E-1,1.217154656E0,8.112906468E-1,1.531437958E0
2.171032500E-1,6.958964306E-1,1.261799317E0,9.668295068E-1,1.735271925E0
2.271292501E-1,1.234214346E0,9.135626147E-1,8.729045123E-1,1.766308011E0
2.371552500E-1,1.756583396E0,4.766145147E-1,9.078252536E-1,2.033935426E0
