"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.293374955E-3,-1.343969361E-1,-1.107988894E-2,-3.289181011E0,3.291944262E0
1.931837492E-2,-6.536718591E-1,-6.075414938E-1,-3.664865786E0,3.771953711E0
2.934437490E-2,-1.439066284E-1,-8.867980814E-1,-3.507745839E0,3.620966836E0
3.936937498E-2,1.283500527E0,-1.409558457E0,-2.794798928E0,3.383065133E0
4.939437495E-2,1.417225033E0,-2.001890758E0,-1.957023318E0,3.137839012E0
5.942037492E-2,1.132948319E0,-1.966498731E0,-1.374099771E0,2.653081102E0
6.944537489E-2,6.856952320E-1,-7.380387756E-1,-7.406141818E-1,1.250355370E0
7.947137498E-2,1.970407887E0,-1.600758169E0,8.293164432E-2,2.540041656E0
8.949637495E-2,4.048242574E0,-2.779258491E0,-8.863267958E-2,4.911252533E0
9.952237492E-2,5.715781354E0,-3.130250182E0,-6.906473851E-1,6.553290509E0
1.095473750E-1,5.655005980E0,-2.882140542E0,-1.230434268E0,6.465276113E0
1.195733750E-1,3.561191145E0,-2.490632032E0,-1.657406725E0,4.651056583E0
1.295983749E-1,1.433802767E0,-2.077022509E0,-1.951243345E0,3.190166683E0
1.396243749E-1,1.149701176E0,-2.092382267E0,-2.515710740E0,3.468238295E0
1.496493750E-1,1.808820375E0,-2.421234792E0,-3.273952523E0,4.455667648E0
1.596753750E-1,1.992491943E0,-2.835237687E0,-3.575915018E0,4.979534627E0
1.697003749E-1,1.254026029E0,-3.674289452E0,-3.275554660E0,5.079590789E0
1.797263749E-1,3.203224602E-1,-3.500870098E0,-2.286890481E0,4.193872434E0
1.897513750E-1,-1.368985504E0,-2.310236366E0,2.458917904E-1,2.696623101E0
1.997773750E-1,-1.777724297E0,-1.395934152E0,2.284533468E0,3.213725097E0
2.098023749E-1,-1.867340771E0,-1.605195329E0,3.082738631E0,3.945489965E0
2.198283749E-1,-2.443848460E0,-1.500391151E0,3.084415027E0,4.211553747E0
2.298533750E-1,-3.147728679E0,-6.802975941E-1,2.329833602E0,3.974811349E0
2.398793750E-1,-4.108089411E0,-3.351514377E-2,1.341041368E0,4.321563817E0
2.499043749E-1,-4.882640832E0,3.981434919E-1,5.855659032E-1,4.933719404E0
2.599303749E-1,-5.395502456E0,4.186411987E-1,-3.986725187E-1,5.426384338E0
2.699553750E-1,-5.590943300E0,-6.343857685E-1,-1.846037902E0,5.921904105E0
2.799803750E-1,-4.805635341E0,-2.919207796E0,-2.282929577E0,6.068580776E0
2.900063749E-1,-2.302566281E0,-6.553356405E0,-1.537960389E0,7.114324550E0
3.000313749E-1,1.342573339E0,-9.737860562E0,-1.186472561E0,9.901320550E0
3.100573750E-1,1.753979924E0,-1.101561635E1,-1.476720160E0,1.125170882E1
3.200823750E-1,-1.101954567E0,-1.030016858E1,-1.571045104E0,1.047740232E1
3.301083749E-1,-3.151139359E0,-7.477255654E0,8.915261400E-1,8.162955974E0
3.401333749E-1,-1.330942642E0,-5.334896066E0,3.836614882E0,6.704635568E0
3.501593750E-1,4.089109933E-1,-3.608261231E0,5.066327019E0,6.233331916E0
3.601843750E-1,2.862217909E-1,-2.648320913E-2,5.778068234E0,5.785213634E0
