"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.384125001E-3,6.150320694E-2,-4.377494609E-1,-4.590988147E-1,6.373217058E-1
1.441012498E-2,-2.012247638E-1,-6.630689925E-1,-5.206752580E-1,8.667494556E-1
2.443712507E-2,-3.132632630E-1,-7.700508195E-1,-4.647647667E-1,9.524276481E-1
3.446412506E-2,-2.993103446E-1,-7.868329132E-1,-5.178674251E-1,9.883720886E-1
4.449112504E-2,-1.705493934E-1,-7.577938861E-1,-6.205772763E-1,9.942106544E-1
5.451812502E-2,3.066070850E-1,-6.198609924E-1,-7.135281247E-1,9.936588646E-1
6.454512500E-2,5.988095543E-1,-3.456815422E-1,-8.430340111E-1,1.090309568E0
7.457212498E-2,7.017511015E-1,-1.661433703E-1,-1.294849534E0,1.482124672E0
8.459812507E-2,6.854686524E-1,-1.895298940E-1,-1.654939785E0,1.801281362E0
9.462512506E-2,5.155672766E-1,-2.805283570E-1,-1.894487346E0,1.983327528E0
1.046521250E-1,2.382208282E-1,-4.403368539E-1,-2.098308420E0,2.157207439E0
1.146791250E-1,6.896790862E-3,-5.835965610E-1,-2.397175984E0,2.467201899E0
1.247061250E-1,-2.831373847E-1,-7.087328231E-1,-2.796367151E0,2.898644207E0
1.347331250E-1,-6.982604599E-1,-9.082526851E-1,-3.112033181E0,3.316208849E0
1.447591251E-1,-9.213712057E-1,-1.166776215E0,-3.489768575E0,3.793254057E0
1.547861251E-1,-1.065179674E0,-1.449559844E0,-3.779088805E0,4.185372585E0
1.648131250E-1,-1.235162618E0,-1.757267813E0,-3.954811669E0,4.500461332E0
1.748401250E-1,-1.322527914E0,-2.455227726E0,-3.825755433E0,4.734303318E0
1.848671250E-1,-2.146150339E0,-3.389519817E0,-4.023355654E0,5.681742390E0
1.948941250E-1,-1.702311003E0,-2.911106772E0,-4.076229102E0,5.290373246E0
2.049211250E-1,-1.219965413E0,-2.609881902E0,-3.640146098E0,4.642247598E0
2.149471251E-1,-1.795624963E0,-2.831956814E0,-3.404043131E0,4.778258892E0
2.249741250E-1,-2.736930789E0,-3.488408220E0,-3.531323567E0,5.668335575E0
2.350020000E-1,-3.581383334E0,-4.466566707E0,-3.847259154E0,6.897675531E0
2.450290000E-1,-3.687972813E0,-5.231283989E0,-3.678876300E0,7.382520333E0
2.550560000E-1,-3.808320791E0,-5.570398523E0,-3.203590053E0,7.469647661E0
2.650830001E-1,-4.177801670E0,-5.569071790E0,-3.026724644E0,7.591419463E0
2.751100000E-1,-4.202247709E0,-5.803018304E0,-3.642867392E0,8.037685617E0
2.851360000E-1,-3.770225011E0,-6.578021715E0,-4.287753298E0,8.710326897E0
2.951630000E-1,-3.435826841E0,-7.708579692E0,-3.832230055E0,9.268931661E0
3.051900000E-1,-2.590822318E0,-7.547760211E0,-2.646870804E0,8.407554314E0
3.152170000E-1,-4.828946435E-1,-5.802164025E0,-1.399535159E0,5.988070914E0
3.252440001E-1,1.181627558E0,-3.769926803E0,6.161795855E-2,3.951251518E0
3.352710000E-1,2.060835954E0,-3.016761865E0,1.249295046E0,3.861170172E0
3.452970000E-1,1.871452240E0,-3.658594648E0,2.130600838E0,4.628942451E0
3.553240000E-1,3.604773366E-1,-4.236703304E0,2.449355367E0,4.907029704E0
3.653510000E-1,-1.158847976E0,-4.579251324E0,2.266911129E0,5.239404297E0
3.753780000E-1,-1.774325895E0,-4.980353068E0,2.671638148E0,5.923664361E0
3.854050001E-1,-1.474654924E0,-5.639236039E0,3.578400962E0,6.839630377E0
3.954320000E-1,-5.775113636E-1,-6.362697998E0,4.513864250E0,7.822558128E0
4.054590000E-1,7.747607517E-1,-6.709541382E0,5.905811185E0,8.972001200E0
4.154850000E-1,2.965733507E0,-6.036486515E0,6.020099108E0,9.026424428E0
4.255120000E-1,4.835722774E0,-4.887136171E0,5.435523723E0,8.764315880E0
4.355390000E-1,6.696400350E0,-3.841274821E0,6.409577465E0,1.003393508E1
4.455660001E-1,8.519399638E0,-2.912983435E0,6.439169639E0,1.106926142E1
4.555930000E-1,9.118422908E0,-2.729370924E0,6.308506004E0,1.141894697E1
4.656200000E-1,8.329143519E0,-3.090675057E0,5.528345933E0,1.046372366E1
4.756460000E-1,7.970993375E0,-3.274239036E0,4.327160315E0,9.642701543E0
4.856730000E-1,8.320192017E0,-2.878972521E0,3.256991797E0,9.387335806E0
4.957000000E-1,9.811524954E0,-2.200793738E0,2.371121669E0,1.033110512E1
5.057270001E-1,1.097858008E1,-1.975137992E0,1.454578509E0,1.124927506E1
5.157540001E-1,1.098870863E1,-1.511423385E0,7.957966948E-1,1.112067491E1
5.257810000E-1,1.058254349E1,-1.332409124E0,5.943987072E-2,1.066625866E1
5.358080000E-1,9.797964676E0,-1.413379027E0,-8.158286709E-1,9.932941583E0
5.458340000E-1,9.690499869E0,-1.171024218E0,-1.875837360E0,9.939610215E0
5.558610000E-1,9.433878438E0,-7.959662640E-1,-2.263011621E0,9.734107369E0
5.658880001E-1,9.070560524E0,-6.315571779E-1,-3.315181533E0,9.678034991E0
5.759150001E-1,8.355843660E0,-3.726489007E-1,-5.921090544E0,1.024784386E1
5.859420000E-1,9.078741948E0,-2.598274595E-1,-1.120271672E1,1.442192524E1
5.959690000E-1,8.339065660E0,-1.036903124E0,-8.874929645E0,1.222209313E1
6.059960000E-1,6.079094591E0,-3.318528187E0,-3.762861612E-1,6.936109258E0
6.160220000E-1,5.262394100E0,-4.799194048E0,1.710882144E0,7.324764357E0
6.260490001E-1,4.869575229E0,-3.753745803E0,2.930056720E0,6.810917915E0
6.360760001E-1,4.124870335E0,-1.506345663E0,2.423790171E0,5.015814124E0
6.461030000E-1,3.116436135E0,-1.542915319E0,9.687561643E-1,3.609882321E0
6.561300000E-1,1.382353116E0,-8.194615459E-1,-1.841501048E0,2.444083360E0
6.661570000E-1,1.311226416E-1,9.470589012E-1,-2.544583999E0,2.718275452E0
6.761830000E-1,6.161526883E-1,7.356317693E-1,-1.947714843E0,2.171264918E0
6.862100001E-1,1.334659717E0,-3.490343356E-1,5.440127821E0,5.612319684E0
6.962370001E-1,-3.146960354E0,1.588865663E0,9.286881191E0,9.933479542E0
7.062640000E-1,-5.805857127E0,4.324104853E0,-2.201583112E0,7.566559849E0
7.162910000E-1,-5.154381409E0,5.021009928E0,-1.327449749E1,1.509935337E1
7.263180000E-1,-2.908277012E0,5.683257387E0,-7.417456765E0,9.786529239E0
7.363450000E-1,-8.377815742E0,3.693979658E0,6.015545297E-1,9.175791529E0
7.463710001E-1,-5.598461650E0,4.919155524E0,-2.608402849E0,7.895861533E0
7.563980001E-1,-3.572580351E0,5.468396770E0,-1.663827260E0,6.740550033E0
7.664250000E-1,-2.153144778E0,5.215731565E0,-4.594818074E-1,5.661361296E0
7.764520000E-1,-1.368419201E0,4.312042632E0,-6.472294700E-1,4.570031592E0
7.864790000E-1,-2.333073544E0,3.466346383E0,-7.564048800E-1,4.246285171E0
7.965060000E-1,-2.241602626E0,3.169094989E0,-1.598489596E0,4.197989325E0
8.065320001E-1,-3.701917838E0,3.169327708E0,-2.822786041E0,5.631780787E0
8.165590001E-1,-4.928478325E0,3.588859584E0,-2.971485997E0,6.782296127E0
8.265860000E-1,-5.212974018E0,1.472150561E0,-2.541371538E0,5.983384885E0
8.366130000E-1,-6.003495939E0,2.746855853E0,-2.820477560E0,7.179294829E0
8.466400000E-1,-4.971700358E0,4.394035213E0,-1.261527275E0,6.754021097E0
8.566670000E-1,-4.682909301E0,1.503920238E0,1.275051300E0,5.081060069E0
8.666940000E-1,-1.984178372E0,-1.153852115E0,3.120474222E0,3.873718870E0
8.767200001E-1,1.391129787E0,-1.702524426E0,4.079201242E0,4.633973918E0
8.867470000E-1,2.232604930E0,-7.396710259E-1,3.419730041E0,4.150444742E0
8.967740000E-1,1.391623292E0,-1.128947654E0,-1.329724082E0,2.231435486E0
9.068010000E-1,3.137363319E0,-2.489453233E0,-3.869431211E0,5.568924842E0
9.168280000E-1,2.386776711E0,-2.638157283E0,-3.002077460E0,4.655002255E0
9.268550000E-1,3.081118952E0,-2.113284309E0,-2.237137692E0,4.354773200E0
9.368810001E-1,3.504649154E0,-1.589263274E0,-2.141823984E0,4.404058744E0
9.469080000E-1,2.029024177E0,6.313320601E-1,-6.011989020E0,6.376482671E0
9.569350000E-1,2.430008393E0,2.679111766E0,-5.178284826E0,6.316424177E0
9.669620000E-1,3.631344576E0,2.561286278E0,3.659315609E0,5.756512968E0
9.769890000E-1,6.487506816E0,1.583693216E0,6.018217474E0,8.989703580E0
9.870160000E-1,5.873940352E0,1.154116409E0,2.627041726E0,6.537316588E0
9.970430001E-1,3.452005794E0,8.725297058E-1,9.787455475E-1,3.692640646E0
1.007069000E0,4.707514384E-1,5.671120906E-1,4.166398430E-1,8.466473876E-1
1.017096000E0,-2.286818852E0,-2.696455193E-1,-4.998819745E-1,2.356296067E0
1.027123000E0,-2.631800483E0,-1.100489840E0,-1.461264800E0,3.205112554E0
1.037150000E0,-1.386589424E0,-1.715423384E0,-1.374853477E0,2.599140185E0
1.047177000E0,4.923083684E-1,-2.014030162E0,-1.210606359E0,2.400885832E0
1.057204000E0,1.478501807E0,-4.431230521E-1,-6.401812363E-1,1.670975059E0
1.067230000E0,1.231915660E0,2.330148182E0,-6.601833916E-1,2.717176633E0
1.077257000E0,8.082895634E-1,4.127751258E0,-1.705770800E0,4.538867313E0
1.087284000E0,4.550651130E-1,6.059994076E0,-1.302250940E0,6.215019708E0
1.097311000E0,-8.935071766E-2,7.162081960E0,9.267170227E-1,7.222340756E0
1.107338000E0,-6.074613869E-1,7.188701994E0,2.393113339E0,7.600883971E0
1.117365000E0,-1.134480874E0,6.977327487E0,2.350648520E0,7.449543219E0
1.127392000E0,-1.641992295E0,6.494542186E0,1.244766378E0,6.813564430E0
1.137418000E0,-1.991418979E0,5.941459905E0,-7.256646055E-1,6.308191854E0
1.147445000E0,-2.294750600E0,5.355672977E0,-1.926242990E0,6.136735729E0
1.157472000E0,-2.660338403E0,5.267752488E0,-1.254653435E0,6.033305225E0
1.167499000E0,-3.042284962E0,5.253849564E0,3.449143875E-1,6.080904452E0
1.177526000E0,-3.285825879E0,5.193681715E0,9.583177149E-1,6.220076712E0
1.187553000E0,-3.441743931E0,5.571143458E0,5.116512867E-1,6.568487479E0
1.197580000E0,-3.201452311E0,6.049724611E0,4.601314696E-1,6.860042692E0
1.207606000E0,-2.943259733E0,6.419025396E0,6.211094461E-1,7.088895671E0
1.217633000E0,-2.571694322E0,6.629412893E0,-1.234312141E-1,7.111818491E0
1.227660000E0,-2.205520043E0,6.347880569E0,-2.494793496E0,7.168256480E0
1.237686708E0,-2.147901580E0,5.465160921E0,-3.106452599E0,6.643155337E0
1.247713708E0,-2.024468027E0,-1.553081288E0,3.327056351E0,4.192831530E0
1.257740708E0,-7.669667641E0,-4.239521838E1,2.158870225E0,4.313744387E1
1.267766708E0,-3.718971535E0,-5.898466264E1,1.495656807E0,5.912070843E1
1.277793708E0,1.113183326E1,-3.829259436E1,-9.002940398E-1,3.988798095E1
1.287820708E0,1.185198219E1,-1.796261842E1,1.101392211E0,2.154850823E1
1.297847708E0,7.081125505E0,-5.273169349E0,4.125135798E0,9.745019177E0
1.307874708E0,1.277083500E0,2.771276164E0,3.732765409E0,4.821249987E0
1.317901708E0,-3.458605839E0,8.787750583E0,-3.888801867E0,1.021319219E1
1.327927708E0,-4.803170155E0,1.152577422E1,-7.625876673E0,1.463105977E1
1.337954708E0,-5.069713726E0,1.044952167E1,-4.284792268E0,1.237957775E1
1.347981708E0,-4.879432465E0,7.913850875E0,-2.318709274E0,9.581978373E0
1.358008708E0,-3.748128383E0,5.737415468E0,-2.192938004E0,7.195511081E0
1.368035708E0,-3.062403477E0,2.694938425E0,-3.213436180E0,5.192993380E0
1.378062708E0,-1.928882131E0,-4.893002098E0,-3.351801183E0,6.236716041E0
1.388089708E0,-2.197624840E-1,-8.190791965E0,-2.325401412E0,8.517327063E0
1.398115708E0,5.038392969E-1,-4.695403047E0,-5.397944838E-1,4.753108656E0
1.408142708E0,-5.040332052E-1,-2.087385821E0,-2.379699826E-2,2.147509100E0
1.418169708E0,-1.017936803E0,-6.627842331E-1,-8.721239090E-1,1.495352262E0
1.428196708E0,-5.433560959E-1,-4.215082347E-2,-1.179738908E0,1.299537006E0
1.438223708E0,-4.197935387E-2,-4.193272233E-2,-9.324776995E-1,9.343635692E-1
1.448250708E0,7.615508683E-2,-4.215854180E-1,-4.501526479E-1,6.214268004E-1
