"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.318958338E-3,-1.777722251E0,5.348851615E-1,-4.258378056E0,4.645447471E0
1.834595832E-2,-1.800445408E0,7.945529920E-1,-4.054238893E0,4.506636343E0
2.837295842E-2,-1.679156175E0,8.357372707E-1,-2.091230366E0,2.809139848E0
3.839895839E-2,-1.207335573E0,8.242480767E-1,6.615077859E-1,1.604567427E0
4.842595838E-2,-3.874032531E-1,8.075241628E-1,2.751879196E0,2.893961932E0
5.845295836E-2,4.425848890E-1,4.504651085E-1,3.071557585E0,3.135803915E0
6.847995834E-2,1.130781560E0,-3.043081060E-1,2.236898541E0,2.524873352E0
7.850595831E-2,1.613649087E0,-1.724459378E0,2.751154726E0,3.625806924E0
8.853295841E-2,1.720970491E0,-3.633910919E0,4.249723592E0,5.850401576E0
9.855995839E-2,2.525714741E0,-4.657182137E0,4.263242939E0,6.800280933E0
1.085859584E-1,3.261649396E0,-3.844656558E0,2.289588386E0,5.537323885E0
1.186129584E-1,3.268190092E0,-2.095183960E0,4.745494974E-1,3.911017710E0
1.286399583E-1,2.294411754E0,-7.692222691E-1,-8.813742042E-1,2.575431747E0
1.386659584E-1,8.666579318E-1,-5.580743417E-1,-1.972358226E0,2.225475210E0
1.486929584E-1,1.059249574E0,6.076800728E-1,-3.078435080E0,3.311804232E0
1.587199584E-1,7.415427196E-1,2.434406668E0,-3.841656352E0,4.608095589E0
1.687459584E-1,-1.637057245E0,3.157710168E0,-3.948338217E0,5.314175816E0
1.787729583E-1,-3.761737778E0,2.748355956E0,-3.648511124E0,5.917412018E0
1.887999583E-1,-3.819725785E0,1.778262387E0,-3.496199927E0,5.475028413E0
1.988269583E-1,-2.249861818E0,8.440759850E-1,-2.057349259E0,3.163388759E0
2.088529584E-1,3.601364440E-1,1.117847153E0,7.851337123E-1,1.412697938E0
2.188799584E-1,4.092594874E-1,7.313739730E-1,4.469687659E-1,9.498327717E-1
2.289069584E-1,-4.759835270E-1,-1.805609961E-1,-6.691693926E-1,8.408033464E-1
2.389329583E-1,-4.371194234E-1,-7.195492950E-1,-1.316119950E0,1.562368811E0
2.489599583E-1,-3.359172767E-1,-1.310296708E0,-1.736234209E0,2.200960497E0
2.589869584E-1,-6.617866981E-1,-1.141160733E0,-2.351374744E0,2.696140323E0
2.690129584E-1,-1.461496350E0,-7.690717033E-1,-2.319627287E0,2.847474954E0
2.790399584E-1,-2.414577298E0,-1.757800787E0,-1.817730947E0,3.496311332E0
2.890669584E-1,-2.955303828E0,-3.414498537E0,-2.038379138E0,4.954554519E0
2.990939583E-1,-3.221579012E0,-4.134732249E0,-2.600696511E0,5.851342106E0
3.091199583E-1,-3.577789636E0,-4.424912605E0,-2.546407453E0,6.234149593E0
3.191469584E-1,-3.142731648E0,-4.753626696E0,-1.831454946E0,5.985645847E0
3.291739584E-1,-2.971300641E0,-5.057320552E0,-1.282354034E0,6.004127792E0
3.391999584E-1,-4.095896212E0,-7.177816817E0,-1.869746608E0,8.473096979E0
3.492269584E-1,-5.628059086E0,-9.337126899E0,-2.519214392E0,1.118943381E1
3.592539583E-1,-5.488861440E0,-9.664650498E0,-2.566499655E0,1.140701493E1
3.692799584E-1,-6.460415497E0,-8.167041160E0,-1.023589014E0,1.046352064E1
3.793069584E-1,-6.076850429E0,-8.589260416E0,-1.439530699E0,1.061959294E1
3.893339584E-1,-2.682021341E0,-6.617358273E0,-2.889992183E0,7.702903596E0
3.993599584E-1,-2.315689187E0,-5.763922065E0,-2.599962101E0,6.733870872E0
4.093869583E-1,-2.834764062E0,-7.100422486E0,-1.883701280E0,7.874021671E0
4.194139583E-1,-2.491616703E0,-6.936033865E0,-7.301906428E-1,7.406071695E0
4.294409583E-1,-2.006741608E0,-5.649783247E0,3.292863880E-1,6.004622564E0
4.394669584E-1,-1.665852444E0,-4.447827843E0,1.769635697E-1,4.752846830E0
4.494939584E-1,-7.485184479E-1,-4.977374496E0,-2.018078774E-1,5.037386541E0
4.595209584E-1,9.034135294E-1,-5.604608828E0,1.699335355E-1,5.679495886E0
4.695469583E-1,2.775982003E0,-5.924935089E0,4.211526509E-1,6.556546457E0
4.795739583E-1,4.995343575E0,-5.861613252E0,9.879823210E-1,7.764539678E0
4.896009584E-1,4.941204205E0,-6.135593312E0,3.199088282E0,8.502656651E0
4.996269584E-1,5.879388202E0,-5.200869697E0,3.747948874E0,8.698469520E0
5.096539584E-1,7.235510709E0,-3.913683816E0,1.717000378E0,8.403429451E0
5.196809584E-1,6.088611519E0,-3.934586150E0,8.511936544E-1,7.299088233E0
5.297069583E-1,7.078774924E0,-3.847207114E0,1.375294358E0,8.173217945E0
5.397339583E-1,7.328356892E0,-4.162517048E0,8.952302049E-1,8.475423296E0
5.497609584E-1,7.139490073E0,-4.611281494E0,1.589156270E-2,8.499205143E0
5.597879584E-1,8.567412879E0,-4.170625382E0,-1.261665416E-1,9.529459456E0
5.698139584E-1,1.060998681E1,-3.153059000E0,-6.029028976E-1,1.108499405E1
5.798409584E-1,1.249190498E1,-1.762230930E0,-1.435102164E0,1.269695499E1
5.898679583E-1,1.314762227E1,-3.232545465E-1,-1.988419650E0,1.330106302E1
5.998939584E-1,1.316150122E1,-9.893488884E-3,-2.713540757E0,1.343832265E1
6.099209584E-1,1.308735034E1,3.397495419E-1,-3.986088718E0,1.368514055E1
6.199479584E-1,1.414329083E1,1.352690191E0,-7.367077739E0,1.600425820E1
6.299739584E-1,1.512136979E1,2.002666098E0,-1.431838804E1,2.092086834E1
6.400009583E-1,1.334786134E1,3.034546464E0,-1.535790136E1,2.057277348E1
6.500279583E-1,6.625146180E0,3.340787367E0,5.701824635E-1,7.441675227E0
6.600549583E-1,7.204412878E0,-2.431517851E-1,-3.150142994E0,7.866771166E0
6.700809584E-1,6.555773059E0,-3.547411596E0,7.870603698E-1,7.495448850E0
6.801082083E-1,5.794066801E0,-4.054083357E0,4.579017143E0,8.424618683E0
6.901352084E-1,3.529405096E0,-1.938495246E0,1.694805809E0,4.368847774E0
7.001612084E-1,3.113578016E0,-1.107588944E0,-1.719673432E0,3.725372202E0
7.101882084E-1,2.522378320E0,1.413388968E-1,-3.550700070E0,4.357733363E0
7.202152084E-1,1.789634491E0,2.817896014E-1,-1.182448800E0,2.163419089E0
7.302412083E-1,5.733194947E-1,5.764015621E-1,7.729188788E-1,1.121756478E0
7.402682083E-1,-1.204517654E0,1.237454435E0,-3.446272892E-1,1.760944129E0
7.502952084E-1,-2.630765818E0,8.851737249E-1,-4.219350815E-2,2.776011816E0
7.603222084E-1,-3.278819745E0,1.999402183E0,-9.407190576E-1,3.953886740E0
7.703482084E-1,-1.619412103E0,2.095922756E0,6.888961440E-1,2.736780162E0
7.803752084E-1,-3.546096557E-1,1.132802138E0,4.877481834E0,5.019842401E0
7.904022083E-1,-1.006730906E0,2.859811195E0,6.343314478E0,7.030623426E0
8.004282083E-1,-3.068577844E0,6.453563145E0,-7.751894696E0,1.054307918E1
8.104552084E-1,-2.069563508E0,5.166464095E0,-8.227931725E0,9.933494090E0
8.204822084E-1,-2.197543271E0,4.170226017E0,-1.468502191E0,4.937254313E0
8.305082084E-1,-2.547245944E0,3.693757464E0,-1.872816396E-1,4.490810674E0
8.405352084E-1,-6.517768496E-1,1.272210284E0,2.432158414E0,2.821121518E0
8.505622083E-1,-1.850765376E0,1.121816390E0,-5.151496392E-1,2.224676075E0
8.605882084E-1,-3.097375966E0,2.326726391E0,-2.611118004E0,4.671758855E0
8.706152084E-1,-2.162777481E0,2.869701176E0,-2.653443074E-1,3.603220625E0
8.806422084E-1,-1.366175040E0,4.011254257E0,-3.427614427E-1,4.251362177E0
8.906692084E-1,-1.188191058E0,3.159696175E0,-6.205679208E-1,3.432285310E0
9.006952083E-1,-7.155582780E-1,1.535492279E0,-9.606580630E-1,1.947466072E0
9.107222083E-1,-6.292650694E-1,1.120272140E0,-5.652877593E-1,1.403757260E0
9.207492084E-1,-1.345663592E0,9.574447256E-1,-5.429543191E-1,1.738479306E0
9.307752084E-1,-1.973581463E0,7.716196275E-1,-7.086942315E-1,2.234427926E0
9.408022084E-1,-1.594749132E0,3.384713405E-1,4.017446458E-2,1.630767190E0
9.508292084E-1,-1.633436065E0,2.937915963E-1,-6.537923849E-1,1.783780077E0
9.608552083E-1,-1.641192396E0,1.101618937E0,-9.565251048E-1,2.195909160E0
9.708822083E-1,-4.033112903E0,1.530208735E0,-1.988100684E0,4.749745550E0
9.809092084E-1,-5.249930175E0,1.983277901E0,-4.734870583E-2,5.612254447E0
9.909362084E-1,-2.130241819E0,8.781412786E-1,2.937699324E0,3.733515720E0
1.000962208E0,-8.819823146E-2,1.585623382E0,2.091895779E0,2.626405983E0
1.010989208E0,-6.700967610E-2,4.067395129E0,-1.391935533E-1,4.070327785E0
1.021016208E0,-7.907639962E-1,3.718326294E0,-7.919810942E-1,3.883103422E0
1.031042208E0,5.645673823E-1,1.857438803E0,5.403821290E-1,2.015149643E0
1.041069208E0,-7.831105757E-1,-1.223472573E0,9.354328823E-1,1.727767920E0
1.051096208E0,-1.789016440E0,-4.069410664E0,-1.236934032E0,4.614183435E0
1.061122208E0,-4.610471070E-1,-2.577677777E0,-2.026183161E0,3.310952335E0
1.071149208E0,-4.545543587E-1,-7.218615764E-1,-2.984375600E0,3.103901016E0
1.081176208E0,2.080784315E-1,-8.404436946E-2,-4.198476255E0,4.204469402E0
1.091202208E0,4.022168670E0,-1.766697033E0,1.474481261E0,4.633913487E0
1.101229208E0,3.152836806E0,-3.344459419E0,-4.123615815E-1,4.614740600E0
1.111256208E0,3.187206155E0,-3.247623680E0,-2.129503316E0,5.023955316E0
1.121283208E0,6.009909166E0,-3.694409428E0,-1.488053234E0,7.209852400E0
1.131309208E0,3.055650235E0,-3.186714404E0,-8.052341008E-1,4.487822301E0
1.141336208E0,-7.626874208E-1,-2.045226227E0,-7.340009809E-1,2.302911171E0
1.151363208E0,3.800975518E0,-1.715340938E0,3.600727093E-1,4.185625614E0
1.161389208E0,4.066156396E0,5.106841207E-2,6.299556255E-1,4.114982370E0
1.171416208E0,1.607616807E0,2.068090010E0,7.089456618E-1,2.713675006E0
1.181443208E0,3.538290524E-1,2.938922269E0,5.353359818E-1,3.008162847E0
1.191469208E0,2.550818300E0,2.904575724E0,1.382951871E0,4.105580350E0
1.201496208E0,1.863645330E0,1.382440240E0,3.030236481E0,3.816627840E0
1.211523208E0,-2.306210850E0,1.211786912E0,2.964187503E0,3.946320256E0
1.221550208E0,-5.074373372E0,1.038521633E0,2.808956791E0,5.892200825E0
1.231576208E0,-4.241208876E0,1.172450354E0,2.131852727E0,4.889508013E0
1.241603208E0,-1.823970803E0,1.484778793E0,4.597117491E-3,2.351905331E0
1.251630208E0,-6.697625926E-1,9.961053461E-1,-8.592296290E-1,1.476171855E0
1.261656208E0,7.920696795E-1,5.802402592E-1,8.048341513E-2,9.851551734E-1
1.271683208E0,1.686717648E0,1.051790720E0,5.984682962E-1,2.075920144E0
1.281710208E0,4.101049948E-1,2.992088662E0,9.187110150E-1,3.156708823E0
1.291736208E0,-5.369197002E-1,2.793547624E0,9.494112360E-1,2.998928606E0
1.301763208E0,-6.665828767E-1,3.025837621E0,-1.429582247E0,3.412291230E0
1.311790208E0,-7.365883738E-2,3.188286136E0,-1.636715183E0,3.584610258E0
1.321816208E0,9.634018689E-1,3.251771110E0,-1.350129111E0,3.650343426E0
1.331843208E0,1.836628270E0,3.473654233E0,-8.035653055E-1,4.010635154E0
1.341870208E0,2.166088759E0,3.805354498E0,8.895334089E-1,4.468101728E0
1.351897208E0,1.855927298E0,3.894837363E0,2.762340449E0,5.122962910E0
1.361923208E0,1.271918508E0,3.616725075E0,3.314986528E0,5.068294846E0
1.371950208E0,2.585893115E-1,3.489663325E0,2.888581250E0,4.537457459E0
1.381977208E0,-1.105405302E0,3.353428463E0,1.445104850E0,3.815197421E0
1.392003208E0,-2.210621738E0,2.395496079E0,-4.033400002E0,5.185900646E0
1.402030208E0,-2.479071210E0,1.900747375E0,-5.840952115E0,6.623847542E0
1.412057208E0,-3.133606191E0,3.041597621E0,-9.588556588E-2,4.368065692E0
1.422083208E0,-3.865115673E0,3.301715103E0,2.026609277E0,5.472438848E0
1.432110208E0,-4.132868449E0,3.176277124E0,1.088661361E0,5.324896388E0
1.442137208E0,-3.919774568E0,3.231070213E0,6.975359899E-1,5.127475387E0
1.452163208E0,-3.528245885E0,3.493535936E0,8.137177529E-1,5.031446009E0
1.462190208E0,-3.366118967E0,3.445164260E0,9.169801661E-1,4.903138414E0
1.472217208E0,-2.963520628E0,3.780562888E0,8.585103484E-1,4.879769491E0
1.482244208E0,-2.767352098E0,5.006760848E0,1.618257862E0,5.945136696E0
1.492270208E0,-4.490090056E0,5.344912931E0,1.469815329E0,7.133677877E0
1.502297208E0,-6.031111754E0,4.655778220E0,-1.070804111E0,7.693971749E0
1.512324208E0,-6.078607517E0,4.964629905E0,1.331129314E0,7.960460081E0
1.522350208E0,-4.667032356E0,4.744805002E0,4.137520201E0,7.836672696E0
1.532377208E0,-5.716009980E-1,-1.389216929E1,2.423780085E0,1.411360355E1
1.542404208E0,1.240486654E0,-5.309915474E1,-3.961819849E0,5.326119655E1
1.552430208E0,7.934761688E0,-5.104451800E1,-1.898331306E0,5.169242617E1
1.562457208E0,9.225947941E0,-2.430549552E1,1.185030638E0,2.602459463E1
1.572484208E0,5.228467385E0,-5.823934963E0,2.574515018E0,8.239127213E0
1.582510208E0,3.582364205E0,4.462676847E0,4.151868684E0,7.070136597E0
1.592537208E0,2.559628007E0,9.391422390E0,3.240682451E0,1.025926570E1
1.602564208E0,2.262485957E0,1.048893424E1,-1.478519495E0,1.083155594E1
1.612591208E0,2.498042209E0,9.997751756E0,-5.450148779E0,1.165758881E1
1.622617208E0,1.499610840E0,8.041495593E0,-3.524681715E0,8.907180543E0
1.632644208E0,5.009150313E-1,6.327134063E0,-1.960263699E0,6.642753577E0
1.642671208E0,4.961230188E-1,2.041589259E0,-1.729017429E0,2.720978872E0
1.652697208E0,6.939205103E-1,-4.562944901E0,-1.689645934E0,4.914966452E0
1.662724208E0,8.839802351E-1,-7.184054042E0,-1.220834309E0,7.340469327E0
1.672751208E0,1.687315526E0,-7.120361491E0,-1.138469114E0,7.405585282E0
1.682776958E0,1.583976660E0,-4.429219664E0,-1.550400779E0,4.952848823E0
1.692803958E0,-1.828343935E-1,-1.885748683E0,-2.210634602E0,2.911422651E0
1.702830958E0,-1.335774635E0,-1.664918643E-1,-2.366412613E0,2.722484540E0
1.712857958E0,-1.799675037E0,4.416325969E-1,-2.266802956E0,2.927843102E0
1.722883958E0,-1.631629567E0,3.225283223E-1,-2.340204223E0,2.871026884E0
1.732910958E0,-1.388923486E0,8.881394327E-2,-2.519371097E0,2.878233328E0
1.742937958E0,-1.156341421E0,-2.092712635E-1,-2.707788266E0,2.951785432E0
1.752963958E0,-7.703406952E-1,-5.735586458E-1,-3.117467583E0,3.262054328E0
1.762990958E0,-4.875517315E-1,-1.024386574E0,-3.923785173E0,4.084502984E0
1.773017958E0,-6.971804061E-1,-1.606505544E0,-4.575125236E0,4.898845936E0
1.783043958E0,-1.355962439E0,-2.206531611E0,-4.713355168E0,5.378023134E0
1.793070958E0,-1.925173680E0,-2.771305985E0,-4.310708882E0,5.474362212E0
1.803097958E0,-1.734212826E0,-3.342756125E0,-3.703863791E0,5.282056382E0
1.813123958E0,-1.030806524E0,-3.797294696E0,-4.744344242E0,6.163668663E0
1.823150958E0,-1.052600413E0,-3.537571902E0,-4.514734608E0,5.831398732E0
1.833177958E0,-1.727215464E0,-3.776376282E0,-1.392626967E0,4.379920199E0
1.843203958E0,-1.519421645E0,-4.281775104E0,1.123370872E0,4.680192549E0
1.853230958E0,-2.187321754E0,-4.323133045E0,4.837989154E-1,4.869077651E0
1.863257958E0,-7.571908920E-1,-3.858056037E0,3.179689559E-1,3.944494732E0
1.873284958E0,5.611565553E-1,-3.494893075E0,-7.912583783E-1,3.627018625E0
1.883310958E0,1.513294202E0,-3.454775913E0,-1.073214918E0,3.921393401E0
1.893337958E0,1.938753400E0,-3.779229723E0,-1.176184970E-1,4.249138284E0
1.903364958E0,1.902728120E0,-3.826352434E0,4.354439038E-1,4.295457908E0
1.913390958E0,1.609425643E0,-3.279278752E0,-4.013938129E-2,3.653153597E0
1.923417958E0,1.354885236E0,-2.396978348E0,-9.661123458E-1,2.917977428E0
1.933444958E0,1.611432992E0,-1.658463317E0,-1.223214710E0,2.616002884E0
1.943470958E0,2.195169886E0,-9.079924840E-1,-2.902119309E-1,2.393207919E0
1.953497958E0,2.710439394E0,-1.885557479E-1,1.121873692E0,2.939495800E0
1.963524958E0,2.401571336E0,3.675407732E-1,1.431143453E0,2.819716774E0
1.973550958E0,1.980204604E0,7.070745528E-1,1.402989110E0,2.527754565E0
1.983577958E0,1.656586946E0,7.753138983E-1,2.005038899E0,2.713958904E0
1.993604958E0,1.259233266E0,8.606686288E-1,2.975709441E0,3.343839946E0
2.003631958E0,8.231452918E-1,1.390091906E0,3.481288358E0,3.837876016E0
2.013657958E0,4.237629211E-1,2.069854699E0,3.132793136E0,3.778659328E0
2.023684958E0,4.095600343E-1,2.637823992E0,2.352459403E0,3.558078143E0
2.033711958E0,7.050420606E-1,2.874950806E0,2.024676772E0,3.586327157E0
2.043737958E0,1.523561035E0,2.726922694E0,2.536956013E0,4.024113744E0
2.053764958E0,2.012254947E0,2.630184020E0,3.303481547E0,4.677609248E0
2.063791958E0,2.067011783E0,2.837461383E0,3.291505280E0,4.812248104E0
2.073817958E0,1.621398987E0,3.078093018E0,2.892343349E0,4.524294569E0
2.083844958E0,1.358166109E0,2.963077117E0,2.785868475E0,4.287832126E0
2.093871958E0,1.542771478E0,2.634112179E0,3.225975534E0,4.441352153E0
2.103897958E0,2.197576016E0,2.327678903E0,3.511099218E0,4.751341614E0
2.113924958E0,2.951624175E0,2.148269954E0,3.612950113E0,5.136200696E0
2.123951958E0,3.358187512E0,2.215453293E0,3.488064111E0,5.324682892E0
2.133978958E0,3.464148415E0,2.507991538E0,3.148961272E0,5.310960637E0
2.144004958E0,2.901756781E0,2.971839754E0,2.919982553E0,5.077235670E0
2.154031958E0,2.591338627E0,3.234778517E0,2.967558423E0,5.097571081E0
2.164058958E0,2.288740540E0,3.339584595E0,3.039432982E0,5.062540012E0
