"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.989333334E-3,1.010106504E-1,-5.230392873E-2,-2.841904682E-1,3.061095795E-1
1.501633332E-2,5.037610173E-2,-2.752284408E-3,-4.898352885E-1,4.924265799E-1
2.504333330E-2,-9.634691119E-2,-4.426400721E-2,-6.999339330E-1,7.079191622E-1
3.507033328E-2,-2.742323676E-1,-1.783120108E-1,-7.347353911E-1,8.042603183E-1
4.509633337E-2,-3.735274449E-1,-3.180265510E-1,-6.154562849E-1,7.870515090E-1
5.512333335E-2,-2.387099478E-1,-4.674123859E-1,-2.811271119E-1,5.953899821E-1
6.515033334E-2,3.967853299E-1,-6.490146250E-1,4.912017828E-1,9.055041540E-1
7.517733332E-2,1.390483670E0,-3.017847401E-1,4.361356294E-1,1.488197955E0
8.520433330E-2,8.386626327E-1,-2.709769303E-1,-3.481227547E-1,9.476143522E-1
9.523033327E-2,5.480642009E-1,-5.302272695E-1,-1.291717181E0,1.500016200E0
1.052573334E-1,6.048125982E-1,-5.290484709E-1,-1.603142810E0,1.793253310E0
1.152843334E-1,6.349547026E-1,-4.705932713E-1,-1.760835199E0,1.930068937E0
1.253113333E-1,6.216271439E-1,-5.188520962E-1,-2.025215886E0,2.181083948E0
1.353383333E-1,5.474715856E-1,-5.567420536E-1,-2.261918192E0,2.392897983E0
1.453653333E-1,3.714218625E-1,-5.983642888E-1,-2.529944032E0,2.626139910E0
1.553923333E-1,-4.259901255E-2,-8.039196467E-1,-2.755158314E0,2.870365623E0
1.654183334E-1,-4.450719291E-1,-1.240884411E0,-2.995301122E0,3.272569626E0
1.754453334E-1,-1.277463131E0,-2.090847958E0,-3.033434908E0,3.899395412E0
1.854723333E-1,-2.064875503E0,-3.182342441E0,-3.402502390E0,5.095884297E0
1.954993333E-1,-1.303356063E0,-2.612747038E0,-3.076069881E0,4.241154327E0
2.055263333E-1,1.144896519E0,-3.198660266E0,-2.321476761E0,4.114786737E0
2.155523333E-1,1.710851153E0,-3.794063232E0,-3.011158771E0,5.137022934E0
2.255793334E-1,-1.756506506E0,-2.044088359E0,-1.912754048E0,3.304881295E0
2.356063334E-1,-2.874363745E0,-1.629625434E0,-1.034781754E0,3.462429678E0
2.456333333E-1,-2.750832544E0,-2.572890662E0,-1.773489743E0,4.163185309E0
2.556603333E-1,-2.596873602E0,-3.729109145E0,-2.767914015E0,5.320841617E0
2.656863333E-1,-2.826288815E0,-4.081063580E0,-3.525214396E0,6.088524037E0
2.757133333E-1,-3.151404238E0,-3.739351420E0,-4.089085960E0,6.374536980E0
2.857403334E-1,-3.328362619E0,-3.346500974E0,-4.473769600E0,6.503205434E0
2.957673334E-1,-3.342787115E0,-3.375156716E0,-4.590917981E0,6.606242234E0
3.057933333E-1,-3.531601894E0,-3.780749999E0,-4.305542282E0,6.730822895E0
3.158203333E-1,-3.914806189E0,-4.178293421E0,-3.960948907E0,6.962252484E0
3.258473333E-1,-4.186384213E0,-4.429408529E0,-3.830261883E0,7.198359451E0
3.358743333E-1,-4.111155691E0,-4.566010596E0,-3.764059122E0,7.205428159E0
3.459003334E-1,-3.700023925E0,-4.794135329E0,-3.357815629E0,6.924509831E0
3.559273334E-1,-3.382010822E0,-4.824956880E0,-2.553777868E0,6.421836770E0
3.659543333E-1,-3.089135485E0,-4.501785072E0,-1.409882392E0,5.638846977E0
3.759813333E-1,-2.815878725E0,-3.999911243E0,-1.892275929E-1,4.895331453E0
3.860083333E-1,-2.436991430E0,-3.707485849E0,7.575790009E-1,4.500922627E0
3.960343333E-1,-2.224506537E0,-3.896770745E0,1.498290246E0,4.730552318E0
4.060613334E-1,-2.094596608E0,-4.111479626E0,1.922200810E0,4.998645378E0
4.160883334E-1,-1.599036895E0,-4.403650667E0,2.135287966E0,5.148641849E0
4.261153333E-1,-9.692081541E-1,-4.753965835E0,2.660226137E0,5.533205102E0
4.361423333E-1,-1.718099070E-1,-5.029486052E0,3.991322853E0,6.423076109E0
4.461683333E-1,5.065559864E-1,-5.297351094E0,5.422585589E0,7.597562902E0
