"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.005529158E-2,-9.771130049E-1,3.281048119E-1,-2.806047217E0,2.989365079E0
2.008129167E-2,-4.686455637E-2,6.795289046E-1,-3.330129647E0,3.399076240E0
3.010829166E-2,2.262160559E-1,9.734967944E-1,-3.048583290E0,3.208228450E0
4.013429163E-2,-8.463390036E-1,1.175059381E0,-1.680056500E0,2.218027074E0
5.016129161E-2,-2.652226269E0,1.456333551E0,6.361688769E-1,3.091912423E0
6.018729159E-2,-2.655051643E0,4.678564820E-1,2.106126148E0,3.421104539E0
7.021429169E-2,-1.212002601E0,-1.200019975E0,2.479111263E0,3.009151193E0
8.024029166E-2,1.410140839E0,-2.081452359E0,3.193555062E0,4.064447692E0
9.026729164E-2,3.957659555E0,-2.957831579E0,2.705903708E0,5.633271846E0
1.002932916E-1,4.489543341E0,-3.759850004E0,1.908717130E0,6.159194148E0
1.103202916E-1,4.430349931E0,-3.311734599E0,1.229706289E0,5.666371336E0
1.203462916E-1,4.215872599E0,-1.870623105E0,-5.905155712E-1,4.649894752E0
1.303732917E-1,8.430165426E-1,-4.115532039E-1,-1.120082105E0,1.461039648E0
1.403992916E-1,-1.611022225E0,4.532412203E-1,-1.762478852E0,2.430463313E0
1.504262916E-1,-5.072335325E-1,1.256996414E0,-3.325917898E0,3.591525540E0
1.604522916E-1,9.504349373E-2,1.448886683E0,-3.821834875E0,4.088364918E0
1.704792916E-1,-9.037536181E-1,1.134655121E0,-3.234255776E0,3.544661235E0
1.805052917E-1,-1.264654659E0,6.465548475E-1,-2.128544372E0,2.558922766E0
1.905322917E-1,2.646807946E-2,3.057501756E-1,-6.897206014E-1,7.549160464E-1
2.005582916E-1,8.079195077E-1,4.845159303E-1,1.500013713E0,1.771307641E0
2.105852916E-1,6.509591896E-1,6.023576447E-1,2.742385656E0,2.882232067E0
2.206112916E-1,-4.441887072E-1,6.033756450E-2,2.700808445E0,2.737756469E0
2.306382916E-1,-1.688131797E0,-4.864832991E-1,1.885188519E0,2.576895558E0
2.406642917E-1,-1.399867574E0,-6.062460431E-1,9.737695670E-1,1.809804039E0
2.506912916E-1,9.778006375E-3,-5.907326491E-1,7.832169950E-2,5.959823494E-1
2.607182916E-1,9.817473619E-1,6.053139970E-1,-4.019913983E-1,1.221404929E0
2.707442916E-1,1.141152693E0,1.988843719E0,-1.063165308E0,2.527459056E0
2.807712916E-1,1.190929163E0,1.983240625E0,-1.493268365E0,2.753435319E0
